P_raw,DO_raw,interaction_shap_value
20.2,1.96,0.2251488
49.4,3.1,0.14363778
21.3,1.7,0.17044151
61.9,5.4,-0.12312096
60.3,2.5,-0.8795375
49.4,3.8,0.18134809
49.5,7.7,-0.3254056
58.8,2.4,-0.183272
17.8,7.6,-0.4698193
52.5,3.4,-0.023142338
59.1,3.6,-0.13708812
49.4,5.3,0.22085887
59.4,5.1,-0.3172179
20.5,10.19,-0.7160499
18.2,8.3,-0.52229
58.3,6.6,-0.34717447
18.4,9.91,-0.5026915
20.2,1.4,0.17044151
26.2,9.87,-0.9005263
16.5,2.8,0.12223619
18.2,5.8,0.12438744
59.9,3.2,-0.3671912
16.6,8.31,-0.5007813
57.8,6.2,-0.31220406
18.6,7.3,-0.42743075
31.2,10.44,0.39355016
60.0,4.7,-0.36860073
22.4,4.1,0.08687407
60.1,5.6,-0.14107552
56.8,2.3,-0.42250335
16.0,4.9,0.113013
17.0,7.7,-0.40300676
19.2,7.0,-0.36582673
18.7,6.7,0.03469205
59.2,0.1,-0.17484999
59.2,1.5,-0.13477844
60.1,4.7,-0.31415227
15.6,10.2,-0.78297067
16.3,8.1,-0.42959726
14.2,9.3,-0.30939257
16.6,7.6,-0.39821827
58.9,2.3,-0.23474574
49.6,7.2,0.61059856
37.1,9.49,-0.35364932
15.7,1.9,0.13402832
16.0,7.6,-0.53701556
38.0,6.2,0.05478543
49.2,5.0,0.008893132
58.5,3.2,-0.1316866
59.6,2.8,-0.18241978
49.0,5.0,0.21832258
49.6,7.7,0.7262387
19.2,6.0,0.06280863
33.5,6.3,0.09783244
60.1,3.8,-0.43732876
22.4,2.9,0.18464792
17.2,2.6,0.16154146
48.9,6.3,0.03647977
20.5,2.04,0.2251488
49.4,7.0,-0.62974703
16.8,7.4,-0.41497964
19.2,8.2,-0.48600864
24.8,3.5,0.18010736
21.8,1.61,0.15206182
59.4,6.1,-0.23533213
16.2,10.5,-0.035012484
41.9,10.95,-2.7418385
59.5,5.6,-0.33101404
49.4,6.3,-0.0039331317
20.7,5.2,0.21060228
54.2,2.5,-0.2940519
60.3,6.3,-0.07658416
49.4,4.2,0.11156261
49.3,4.7,0.31001675
30.6,4.8,0.12783545
18.4,7.17,-0.35725808
19.9,7.85,-0.3563596
57.5,7.3,-0.08639771
60.5,3.0,-0.37683213
18.3,8.38,-0.48425776
49.5,7.7,-0.38121796
33.1,6.8,0.054015994
48.9,6.1,-0.17631033
16.8,10.8,0.8176923
18.0,9.3,-0.29299563
20.1,12.71,-0.62819433
36.3,4.9,0.1436162
57.8,6.5,-0.22996406
19.3,5.7,0.13382018
63.4,6.9,0.30304468
63.5,7.9,0.19176328
16.7,4.8,0.12343055
58.8,6.3,-0.2812301
17.8,10.5,-0.16100502
49.4,3.2,0.24078862
48.9,3.0,-0.2659518
62.8,2.5,-0.5455024
59.3,2.9,-0.13202494
57.3,3.5,-0.2307918
61.4,4.8,-0.34169412
53.9,1.4,-0.28136623
53.6,4.3,-0.0429582
16.9,10.3,-0.17080235
49.6,7.9,0.6579757
22.4,3.8,0.35181877
17.1,3.0,0.026215434
18.2,8.81,-0.47046292
49.1,3.6,0.24636504
21.8,9.02,-0.33274388
17.4,11.5,0.6278715
18.8,1.0,0.09384072
59.6,4.9,-0.23163366
18.0,8.96,-0.48068643
60.1,4.6,-0.5400968
17.8,5.5,0.075933635
18.6,8.2,-0.4808842
17.4,7.6,-0.4608733
17.5,6.3,-0.010270894
59.7,4.3,-0.49192047
20.9,6.7,0.065855145
59.9,6.8,0.09399665
61.9,4.5,-0.43433943
16.7,6.7,-0.07806867
19.7,9.57,-0.24559063
19.1,8.95,-0.48068643
17.3,8.9,-0.42113757
49.4,4.2,0.243676
19.2,9.17,-0.36491644
38.5,6.8,0.18448296
64.1,7.6,0.103986084
17.8,1.4,0.093958855
49.6,3.3,-0.102674395
49.4,8.1,-1.4487002
63.0,6.7,0.100416005
45.5,0.9,0.5224762
59.5,4.4,-0.313191
16.3,0.2,0.07577181
16.7,3.77,0.12639934
49.6,4.1,-0.05923006
18.2,9.14,-0.47238138
14.9,10.2,-0.811445
55.9,1.9,-0.3028021
17.9,5.5,0.13814515
56.7,1.3,-0.31929696
37.9,3.7,0.05798316
56.8,4.3,-0.29006514
49.6,6.5,-0.23218432
26.0,10.48,0.3819554
59.4,6.3,0.14273143
19.2,8.2,-0.52087903
59.8,3.6,-0.37459803
49.1,5.3,-0.024351597
17.5,6.5,0.056369215
18.9,9.0,-0.51761496
17.0,2.4,0.06778705
21.1,4.87,0.19733965
49.6,5.3,-0.24951172
55.9,5.3,-0.34708196
21.3,1.9,0.24381447
58.7,4.7,-0.30754104
49.0,5.9,0.08275029
24.3,7.9,-0.2808498
58.7,2.9,-0.05662471
17.7,8.2,-0.5027146
59.1,3.8,-0.155424
22.6,8.94,-0.37116092
59.8,4.8,-0.5046798
49.0,1.5,0.4545946
49.4,5.5,0.115770936
49.2,5.0,0.057610117
61.6,3.8,-0.37721965
20.8,2.3,0.13504815
54.1,0.8,-0.25731087
18.0,3.5,0.121519566
55.3,3.3,-0.0382716
33.8,3.9,0.23176277
17.7,7.17,-0.38435698
40.0,8.7,-0.23620433
18.7,7.9,-0.4085548
20.4,5.19,0.25174546
59.8,4.5,-0.5766345
59.6,4.1,-0.056624696
61.0,3.7,-0.41240048
49.1,3.8,0.20865494
34.1,10.57,-0.3780594
17.9,2.6,0.092396796
15.4,4.73,0.16134787
49.0,6.8,0.10510087
19.3,9.28,-0.11392063
27.2,8.98,-0.36131144
19.1,8.6,-0.4486342
19.6,0.0,0.17324746
30.8,5.6,0.17785513
39.3,8.2,-0.23607552
59.0,8.8,0.79115915
49.5,3.1,0.047648907
19.2,6.02,0.048398137
49.3,5.0,0.18295243
48.9,6.5,-0.034392238
15.9,9.5,-0.26380274
30.6,4.2,0.33534414
29.7,7.7,-0.29268724
56.9,8.1,-0.054596663
49.4,2.5,0.43984473
42.2,10.84,-2.5402174
14.4,10.7,0.3333559
49.1,5.1,0.089833975
43.7,7.3,-1.923712
18.1,8.81,-0.42324603
30.6,4.9,0.23257881
22.2,4.4,0.07532188
17.5,8.1,-0.4455862
59.6,4.4,-0.049115658
61.1,4.5,-0.730556
36.6,3.4,0.1436162
69.5,5.4,-0.22390617
18.7,4.8,0.1336664
19.1,6.4,0.047058523
49.4,2.9,0.15420568
18.5,2.84,0.15846038
17.0,10.4,0.37301207
49.0,5.1,0.17106295
48.9,6.0,-0.026643068
20.0,9.19,-0.31506795
48.9,5.2,0.014441013
61.2,4.6,-0.3120471
14.8,7.6,-0.43205795
69.4,5.8,-0.17722055
18.4,7.83,-0.33939672
17.3,11.1,-0.17902923
60.9,4.1,-0.41067398
35.0,0.0,0.16652334
18.9,7.2,-0.9152867
57.9,5.9,-0.2105451
22.9,4.7,0.22715598
17.3,4.0,0.036970735
15.2,6.7,-0.10032916
21.5,6.5,0.123771966
21.4,8.6,-0.39303637
59.3,8.9,0.240937
21.4,6.0,0.16734362
16.7,9.6,-0.31320965
20.2,6.6,0.102390766
57.3,2.8,-0.39060414
58.4,5.3,-0.044625938
18.6,3.3,0.13473034
63.4,5.8,-0.32670975
16.3,6.0,-0.013636887
18.7,3.1,0.15112036
18.0,3.9,0.18327332
18.3,6.0,0.041937947
49.4,4.2,0.24367581
49.4,6.8,0.0156181455
18.9,3.3,0.12752533
38.0,6.9,-0.35297066
15.1,9.3,-0.41442883
49.5,3.6,0.008193195
49.5,7.6,-0.32279634
49.4,5.7,0.2431763
41.1,10.9,-2.7418394
57.3,3.5,-0.1286735
36.8,9.01,-0.1412766
40.4,3.1,0.33055276
17.2,5.9,0.07360613
16.5,7.9,-0.46960616
49.4,5.3,0.16256714
19.2,8.24,-0.44431043
25.1,7.5,-0.3091668
21.6,5.2,0.21155688
49.2,5.3,0.103126556
