CODo_raw,DO_raw,interaction_shap_value
211.0,8.6,-0.6676394
489.0,8.9,1.3223048
170.0,6.0,1.0880634
208.0,9.6,-1.0395832
231.0,6.6,0.047160685
528.0,2.8,0.31781578
184.0,5.3,1.172153
128.0,3.3,0.78498423
162.0,5.8,0.87522024
200.0,6.0,0.50392395
277.0,3.1,-0.08956182
220.0,3.9,-0.0077046156
185.0,6.0,0.9724624
499.0,4.2,-0.5145955
655.0,6.8,-1.5203453
240.0,3.3,-0.15183342
215.0,6.9,-0.08807987
182.0,9.3,0.003367126
621.0,3.6,-2.8666558
632.0,7.6,9.779708
556.0,5.7,-1.1772699
220.0,10.9,-0.4289918
684.0,3.5,0.28444833
129.0,9.01,-0.4052744
538.0,3.1,-1.1893226
196.0,5.9,0.5562949
199.0,7.9,-0.81560385
629.0,5.3,-2.1851394
178.0,8.24,-0.2331574
216.0,7.5,-0.80472916
265.0,5.2,0.0780164
477.0,5.3,-1.0422366
424.0,3.4,-0.35660657
270.0,8.72,-0.86507964
76.0,10.3,-0.89899874
268.0,7.0,-1.3381052
632.21,4.6,-2.1649137
274.0,8.1,-1.1448314
291.0,5.5,0.3454251
554.0,7.2,4.4547706
235.0,7.4,-0.57343656
232.0,6.5,-0.026686013
246.0,0.6,-0.5576202
180.0,0.5,0.14584541
229.0,2.5,-0.55494946
175.0,9.25,0.21558565
230.0,4.7,-0.33257967
496.0,2.9,-0.6575002
242.0,6.5,0.028722167
244.0,2.4,-0.61702305
240.0,6.21,0.029763877
556.0,4.6,-0.89515257
458.0,5.1,-2.0690532
237.0,2.9,-0.22725606
142.0,8.9,-0.41879547
241.0,9.2,-1.0228101
222.0,10.24,-0.067628145
295.0,8.0,-1.0791829
274.0,8.6,-1.054312
248.0,3.7,-0.4303698
578.47,4.2,-1.1831781
157.0,8.57,-0.29443455
195.0,5.1,1.1151123
211.0,11.06,-0.9949384
76.0,10.8,-0.5505419
202.0,2.4,-0.16295958
244.0,4.4,-0.26817203
288.0,8.87,-0.8734342
494.0,6.2,-0.662094
250.0,8.3,-0.83182025
208.0,7.8,-0.62508816
205.0,6.5,0.34939945
260.0,7.9,-1.0439043
589.0,2.2,-0.7699636
145.0,8.4,0.34440053
185.0,1.9,0.2899152
221.0,8.5,-0.4483527
412.0,1.0,-0.40147018
82.0,11.1,-0.7396734
168.0,8.8,0.18386966
186.0,7.6,0.24310434
251.0,7.9,-1.2074857
192.0,9.5,-0.29934394
634.28,6.3,-1.7275035
172.0,2.2,0.24467695
220.0,2.7,-0.315071
633.0,0.0,-1.0849442
