CODo_raw,COD2i_raw,interaction_shap_value
157.0,495.0,2.8015995
195.0,387.0,4.3767347
211.0,480.0,3.6401663
76.0,420.0,4.0980988
202.0,342.0,5.5172825
244.0,395.0,7.439676
288.0,638.0,2.708943
494.0,2841.0,0.680027
250.0,347.0,5.2848444
208.0,431.0,4.116297
205.0,531.0,2.9098134
260.0,560.0,2.948604
589.0,1664.0,1.1554394
145.0,360.0,5.064682
185.0,410.0,5.0980277
221.0,280.0,4.0918217
412.0,1599.0,0.38023186
82.0,412.0,4.140297
168.0,357.0,5.1189
186.0,372.0,5.215948
251.0,482.0,2.9518962
192.0,596.0,2.8310323
634.28,2126.0,1.1501961
172.0,485.0,3.5922713
220.0,515.0,3.7184987
633.0,1657.0,2.3918
211.0,536.0,3.2290525
450.0,1502.0,1.5962162
554.0,2987.0,0.73327637
334.0,402.0,2.3995752
230.0,602.0,3.127706
616.0,2418.6,-0.64875984
212.0,433.0,3.9856405
189.0,420.0,4.0879087
429.0,1423.0,-0.19545364
354.0,275.0,1.902214
132.0,450.0,3.8896503
654.0,3305.0,-3.5515347
68.0,441.0,2.876134
633.0,2633.0,1.1027699
135.0,326.0,5.4674263
145.0,543.0,2.851902
578.0,2652.0,-0.032798767
256.0,590.0,2.830861
511.0,1630.0,-1.0832424
558.0,2369.0,2.2076836
263.0,1353.0,-0.72991276
203.0,352.0,7.3429995
245.0,456.0,3.9965105
208.0,421.0,7.4677553
228.0,517.0,3.796041
251.0,357.0,7.902667
496.0,2874.0,1.8439465
548.16,3409.0,-0.117580414
187.0,584.0,3.289482
174.0,331.0,7.6651936
156.0,543.0,3.5764103
243.0,1195.0,-1.4954019
464.0,1435.0,0.32988548
636.0,1659.0,4.382368
430.0,598.0,-8.210872
200.0,456.0,3.7814746
388.0,613.0,-7.692051
128.0,490.0,3.48534
654.0,1621.0,4.338045
654.0,1564.0,3.661457
218.0,416.0,7.4777513
264.0,410.0,7.404674
288.0,1158.0,-1.0334878
189.0,465.0,2.6692047
467.0,2864.0,2.1186562
80.0,380.0,4.206031
298.0,366.0,7.7865953
575.03,2899.0,-0.982563
474.0,1842.0,2.1263905
296.0,375.0,5.6194525
518.53,2101.0,-1.5601234
198.0,569.0,3.5256853
294.0,2474.0,-1.816431
177.0,320.0,7.677167
93.0,449.0,2.91074
175.0,485.0,2.621543
475.0,689.0,-6.2763033
575.0,1865.0,1.5452938
445.0,1569.0,2.6814423
228.0,421.0,5.1893744
266.0,472.0,3.2365108
168.0,452.0,4.0231185
572.96,3107.0,-0.83849525
233.0,368.0,7.454812
477.0,2563.0,4.0418854
177.0,315.0,5.4394054
223.0,382.0,7.492075
346.0,425.0,2.8727665
185.0,421.0,5.090534
203.0,292.0,7.065469
618.0,2075.0,0.54457283
210.0,333.0,4.457344
192.0,553.0,3.2217488
136.0,508.0,2.8727455
156.0,473.0,2.815525
531.0,1978.0,-0.5785408
239.0,530.0,3.104991
275.0,351.0,7.690399
254.0,521.0,3.068262
143.0,439.0,3.9937801
172.0,335.0,5.44969
170.0,330.0,7.6918573
287.0,663.0,2.9233313
133.0,428.0,5.0068502
274.0,1213.0,-1.2578626
228.0,380.0,4.408724
261.0,443.0,4.4814415
485.0,2523.0,1.6587105
638.0,1665.0,1.782692
508.0,1778.0,-1.2166729
413.0,1403.0,0.010187149
574.0,1541.0,1.8023186
577.78,2843.0,-2.2067814
199.0,350.0,5.2012167
131.0,510.0,3.5156212
89.0,400.0,4.078371
60.0,475.0,2.6498375
150.0,338.0,7.1170883
499.0,2420.0,2.230116
266.0,2749.0,-0.89365387
169.0,538.0,3.659319
205.0,436.0,3.5488052
569.0,2012.0,0.44373322
487.0,2523.0,3.1905346
160.0,324.0,6.807416
210.0,560.0,3.0906997
99.0,420.0,5.00927
185.0,392.0,5.094009
232.0,355.0,4.377961
588.0,1808.0,0.85682297
211.0,351.0,7.254346
485.0,2163.0,0.47126198
235.0,397.0,7.446245
228.0,434.0,4.006275
212.0,601.0,3.1014996
261.0,291.0,4.1669636
469.0,1437.0,0.17619896
81.0,513.0,2.6022186
288.0,1324.0,-1.6374888
216.0,362.0,7.657976
535.0,2236.0,0.30907822
471.0,1424.0,0.17943001
182.0,578.0,2.7025576
156.0,372.0,5.10142
266.0,273.0,7.4374695
