COD2i_raw,DO_raw,interaction_shap_value
495.0,7.7,0.36792648
2156.0,5.3,-0.91295964
2352.0,1.5,0.5552485
3154.0,4.6,-0.5178615
340.0,10.03,-0.121705055
282.0,6.0,-0.11103764
722.0,8.7,0.3178407
612.0,8.66,0.3087219
582.0,6.0,0.18930387
2654.0,2.8,1.6570631
2236.0,4.8,-0.21166635
476.0,11.92,-0.8505249
880.0,11.09,-1.243918
1700.0,3.3,-0.5742924
484.0,5.5,0.23679093
501.0,9.86,-0.25620687
501.0,11.43,-0.7602539
532.0,10.11,-0.48658264
312.0,4.0,0.27010858
339.0,7.8,0.27777815
325.0,7.7,0.27777803
2451.0,5.6,-0.5970943
1602.0,2.4,0.6508467
1287.0,0.6,-0.11814475
1471.0,6.4,-0.5404222
561.0,10.5,-0.7995033
523.0,9.4,0.24581099
357.0,9.5,0.22969994
475.0,7.17,0.44999444
505.0,10.56,-0.6331384
389.0,8.3,0.2627393
1420.0,2.6,-0.6538948
459.0,9.2,0.24095595
1569.0,4.5,-0.26310015
500.0,9.6,0.22834477
890.0,9.5,-0.14200443
3540.0,6.3,-0.5961098
3513.0,3.8,0.17977175
3365.0,3.7,-0.3297351
2530.0,7.2,-1.1761035
315.0,4.0,0.17439735
394.0,7.6,0.3006668
701.0,2.5,-0.08660364
3658.0,4.4,-0.51252586
315.0,2.6,-0.11265975
361.0,8.2,0.0041708946
310.0,6.1,0.11958891
687.0,7.6,0.4283781
460.0,0.0,-0.32289273
3952.0,5.0,-0.6471951
482.0,8.82,0.27844965
302.0,6.8,0.19569862
1426.0,7.4,-0.14541006
1596.0,3.3,-0.72760224
1398.0,8.5,0.1248399
1198.0,2.4,-0.10862005
385.0,2.5,-0.17064631
1561.0,5.9,-0.52507246
484.0,2.2,-0.43159056
1220.0,1.3,0.10413718
450.0,11.8,-0.5988989
456.0,11.72,-1.033176
2014.0,4.5,-0.16152024
428.0,10.9,-0.7364502
215.0,0.7,-0.31863236
598.0,3.1,0.029053599
419.0,6.7,0.10336259
489.0,9.71,0.09096998
565.0,1.96,-0.37904978
3154.0,3.1,0.19888091
1246.0,1.7,0.11758125
3214.0,5.4,-0.60675657
1544.0,2.5,0.28454804
2761.0,3.8,-0.10755575
2785.0,7.7,-1.2011783
326.0,2.4,-0.11266339
560.0,7.6,0.39819884
1785.0,3.4,-0.017569184
255.0,3.6,0.094705105
2356.0,5.3,-0.36477256
2894.0,5.1,-0.37192702
398.0,10.19,-0.15728521
583.0,8.3,0.32666814
310.0,6.6,0.10491365
463.0,9.91,-0.25289226
1326.0,1.4,0.11758125
589.0,9.87,-0.30223024
437.0,2.8,-0.14282614
461.0,5.8,0.3152273
287.0,3.2,0.094994426
428.0,8.31,0.2673645
378.0,6.2,0.11496055
552.0,7.3,0.41250646
475.0,10.44,-0.6277821
1669.0,4.7,-0.41612
1565.0,4.1,-0.69290626
1546.0,5.6,-0.57046413
1667.0,2.3,0.3191036
361.0,4.9,0.109065145
425.0,7.7,0.27265656
280.0,7.0,0.39492667
671.0,6.7,0.4040233
1433.0,0.1,-0.5737107
376.0,1.5,-0.38436234
566.0,4.7,0.09025425
460.0,10.2,-0.62460303
297.0,8.1,0.29027265
421.0,9.3,0.2797988
440.0,7.6,0.38003623
425.0,2.3,-0.10136074
2966.0,7.2,-0.3944087
450.0,9.49,0.20177668
403.0,1.9,-0.17064649
387.0,7.6,0.28443623
462.0,6.2,0.234186
1598.0,5.0,-1.2020732
1528.0,3.2,-0.49688163
368.0,2.8,-0.36367023
2682.0,5.0,-0.38645628
2351.0,7.7,-0.6885078
514.0,6.0,0.33763045
690.0,6.3,0.26475918
223.0,3.8,0.12781137
1368.0,2.9,0.14521158
1275.0,2.6,0.11359656
1809.0,6.3,-0.55835253
511.0,2.04,-0.36774182
1247.0,7.0,0.5559149
385.0,7.4,0.27265638
547.0,8.2,0.3324269
685.0,3.5,0.20464027
498.0,1.61,-0.37414002
326.0,6.1,0.0041120052
913.0,10.5,-0.97534513
980.0,10.95,-1.2385616
556.0,5.6,0.20462973
1631.5,6.3,-0.5715251
459.0,5.2,0.3743959
1877.0,2.5,0.47164822
108.0,6.3,-0.1067248
3026.0,4.2,0.03318453
2915.0,4.7,-0.14255828
1565.0,4.8,-0.52716225
460.0,7.17,0.4200604
436.0,7.85,0.3846619
375.0,7.3,0.0627656
1764.0,3.0,-0.60769993
512.0,8.38,0.30872166
3025.0,7.7,-0.9203203
438.0,6.8,0.32039702
1668.0,6.1,-0.5906899
456.0,10.8,-0.32767582
530.0,9.3,0.31114364
436.0,12.71,-0.71249413
398.0,4.9,0.12776238
312.0,6.5,0.15213864
482.0,5.7,0.35977304
390.0,6.9,0.0807606
325.0,7.9,0.02888155
339.0,4.8,0.2701087
267.0,6.3,0.021093905
511.0,10.5,-0.54688954
1768.0,3.2,-0.23213652
988.0,3.0,0.13471061
1685.0,2.5,0.6684623
466.0,2.9,0.09776008
1997.0,3.5,-0.28880203
2155.0,4.8,-0.5612335
1680.0,1.4,0.385522
3158.0,4.3,0.007964432
435.0,10.3,-0.48426533
3265.0,7.9,-0.17359495
3521.0,3.8,-0.80513424
325.0,3.0,0.024117112
511.0,8.81,0.39240265
2611.0,3.6,-0.4035216
482.0,9.02,0.28307432
521.0,11.5,-0.54689074
1142.0,1.0,0.037214875
1903.0,4.9,-0.1242117
840.0,8.96,0.43640447
469.0,4.6,0.17165649
213.5,5.5,0.16393721
458.0,8.2,0.29518485
402.0,7.6,0.26658535
480.0,6.3,0.3073582
175.0,4.3,0.14237213
588.0,6.7,0.35213506
313.0,6.8,-0.08334389
2684.0,4.5,-0.49250984
525.0,6.7,0.2891897
550.0,9.57,0.22584426
1156.0,8.95,0.4364044
