theoretical_q,sample_q
-0.4873867917245305,-0.09493862232910938
-0.485165355355856,-0.09433004417606959
-0.4829463105968387,-0.09340620887537127
-0.4807296413998607,-0.09339788936646073
-0.4785153318154543,-0.09320102044755292
-0.47630336599128614,-0.0922182782659588
-0.47409372817115314,-0.09206636219932114
-0.47188640269399146,-0.09014210813010289
-0.4696813739928952,-0.08959113173410131
-0.46747862659414835,-0.0877848113979972
-0.46527814511626636,-0.08550592151538687
-0.463079914269049,-0.0847388678437978
-0.460883918852645,-0.08441643955179652
-0.45869014375662703,-0.08296440933668013
-0.45649857395907567,-0.08288570207002535
-0.45430919452567675,-0.08282306731192608
-0.45212199060882563,-0.08264338697707947
-0.4499369474467448,-0.0821518395876649
-0.4477540503626088,-0.0818373630875876
-0.44557328476367986,-0.08111563013508306
-0.4433946361404542,-0.08095349065177838
-0.4412180900658164,-0.08047596085979074
-0.4390436321942034,-0.08004513046618268
-0.43687124826077905,-0.08000881797191592
-0.4347009240806159,-0.07942981622845952
-0.4325326455478874,-0.07922742514727052
-0.4303663986350686,-0.07916292201865033
-0.4282021693921446,-0.0789043969479543
-0.42603994394582956,-0.07861533536074876
-0.4238797084987928,-0.07697615693535366
-0.42172144932889266,-0.07682188848788497
-0.4195651527884211,-0.07611222983133313
-0.41741080530335356,-0.07575243467843455
-0.4152583933726089,-0.07547616811357752
-0.41310790356731647,-0.07049416548306024
-0.41095932253009027,-0.07012256867609772
-0.4088126369743129,-0.06978582065528044
-0.40666783368342474,-0.06924088512448066
-0.40452489951022147,-0.06912156309907501
-0.40238382137616024,-0.0691033183143657
-0.40024458627067067,-0.069095832724995
-0.39810718125047556,-0.06693043944238981
-0.39597159343891675,-0.06669409721344144
-0.3938378100252882,-0.06579132809284187
-0.39170581826417794,-0.06382553336844468
-0.38957560547481385,-0.06376839428949564
-0.3874471590404181,-0.0637672431572986
-0.38532046640756773,-0.06361784694483023
-0.3831955150855614,-0.0632560726702954
-0.381072292645793,-0.062451091616669195
-0.37895078672113197,-0.06084531356505739
-0.37683098500530776,-0.06014679017987543
-0.37471287525230357,-0.05969575152452636
-0.3725964452757541,-0.05960664893488732
