sample_id,f_x,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3-N2i,pHO,CODo,NH3-NO,TempO,pHMBR
985,105.70176,0.78301287,-0.20920116,-10.852463,1.8435299,-0.52526397,-19.716812,-3.0961244,-2.0432653,-61.71754,-0.5862672,2.364057,0.0017891675
1352,82.526924,-0.8251898,0.19191237,-14.270791,1.4351835,-0.4049863,-14.666141,-1.6221554,-0.25944793,-78.70618,1.1731929,-8.99222,0.017425612
478,332.2449,-0.1293749,0.09371277,0.8814325,0.11392662,-0.96277887,34.52535,-10.643672,-5.1062107,130.28601,-4.037336,2.8435712,-15.07598
1350,83.13813,0.17702922,0.1483284,-15.930347,1.5430017,-0.20467299,-9.000775,-1.4764471,0.39092863,-83.91854,1.2882414,-9.088765,-0.24619512
817,119.18809,2.3961442,-0.21845561,-16.624855,2.565,-0.2756166,-10.1207,-3.8408847,2.4938407,-59.7979,-1.1283678,1.7463133,2.5372727
736,147.8226,0.64624226,1.4943643,7.752631,2.458067,0.9118752,-30.761242,1.2887392,-2.619912,-44.69622,6.272091,4.112685,1.5070236
310,359.38272,0.25534597,0.6589627,1.8922018,1.3057053,-0.74942625,45.374733,2.9117436,-5.40088,108.16329,-1.115063,2.6620102,3.9678042
669,106.50925,0.83335495,-0.240088,8.122104,2.3240519,-0.1303521,-29.74507,-0.992284,-3.7818112,-53.295742,-0.08333659,-15.8138685,-0.14402395
485,337.3615,0.48003232,0.09521688,-0.13569091,-0.98401606,-0.8048539,40.89316,-9.303596,-5.5258236,130.65033,-5.145613,3.0418522,-15.355687
1112,48.707947,2.7663798,-0.24179834,-10.458823,-7.918076,-0.26516107,-26.905687,0.25093323,-0.8739608,-108.36376,-2.1934228,3.0472481,0.4077741
1465,121.59947,0.8818627,-0.50353456,-6.6136203,-6.168643,0.28631207,-24.757267,1.5552374,1.924998,-35.312397,2.3481183,-13.948622,2.450718
1185,113.544785,1.1776987,-0.010191864,-11.490197,1.8870052,-0.29802743,-16.412533,-1.4857465,1.6193408,-62.146526,-0.996576,4.1686974,-1.9244614
810,119.56935,0.6177997,-3.4938934,-17.40289,2.5949585,-0.31944284,-8.149959,-3.837978,3.8125598,-57.772114,-1.0989177,2.5956976,2.5672214
637,137.2543,2.1544437,0.5582501,12.564209,0.42549783,-0.38453436,-33.785873,0.010420211,-2.9648044,-27.138124,1.0204269,-15.038659,0.37678373
1590,133.12201,1.9587681,0.15490508,-15.45176,1.619736,0.29676515,-13.72475,-3.5388942,3.3382418,-34.375584,5.843775,-12.519603,0.06415683
1093,45.538834,1.2604045,-0.23236997,-12.688677,-5.0838833,0.96259385,-29.248669,-1.3975778,-1.3524693,-105.46191,-2.613594,1.2620094,0.67666435
730,144.63556,3.0419793,0.7466586,7.5173535,2.1979437,0.807894,-33.735874,2.2087467,-3.0775955,-41.712627,0.5181531,3.5737379,3.0929518
506,250.53334,8.036306,-0.19623166,-0.6606574,-0.034804642,3.2210412,-32.657345,-0.43354428,7.22429,110.05376,2.7282054,-37.222263,-8.98166
1537,81.422966,4.154051,0.16697338,-8.889493,3.4438443,1.1883894,-26.678772,-2.1577723,1.1890153,-94.92892,-1.1591445,2.5771759,3.0613015
567,142.33028,0.043194212,-3.227062,12.18851,1.9070506,1.9975588,-32.14993,1.4046054,-1.9459962,-28.72259,5.0723414,-14.6520815,0.9583875
526,161.49217,2.7684178,0.23395547,1.8129754,0.96507394,2.8012054,-28.575762,-0.24532379,5.1840687,-6.1958413,-1.2653216,-12.637287,-2.810267
710,131.88939,0.826682,-1.2353867,10.717755,1.9638244,0.74668646,-29.15189,-4.2489076,-4.4550967,-48.056328,0.12353571,2.6666152,2.5356069
607,86.7827,1.4650282,0.026572242,10.776618,1.366917,0.33319244,-33.670452,-2.6377604,-0.8055528,-70.875916,-0.06389062,-16.148474,-2.4398694
765,120.0998,3.791145,0.62742835,0.5034413,2.063041,-0.37763235,-27.497627,-4.5114174,-0.8186442,-57.417583,-1.3847075,3.7740076,1.8920207
1584,110.26478,-0.87842155,0.05387544,-9.871271,1.4417734,0.58667874,-17.84592,0.94911593,1.4953039,-53.613346,1.227914,-12.439691,-0.29751652
859,124.18551,-1.0833551,0.7903385,-23.906996,0.5914864,-0.0033629132,20.229517,-15.681727,-1.3979907,-42.828854,2.0596135,-10.337761,-3.701712
327,344.8443,-0.23212501,0.115740106,16.98779,1.1202823,0.00013766345,1.0960114,-1.709348,-4.2399235,126.02046,-0.48699477,3.30306,3.4128435
254,388.06512,0.3045499,-1.1274338,-6.027651,-0.559558,-2.412221,51.253666,1.0525517,0.23846349,136.66658,1.388346,3.1699336,4.661613
322,353.01218,-0.82664156,-0.32929283,7.557597,2.5978441,-1.8552971,43.05516,-0.4917725,-6.2164216,122.24738,-0.8150474,2.8451695,-14.21279
1164,69.06281,-0.5895042,0.23384823,-11.528681,-11.377723,0.8327399,-21.559452,0.12645616,2.4812644,-93.016785,-1.3075979,2.5201602,2.7917812
1320,119.74344,-0.7469814,0.0006678086,-7.880359,2.471714,0.76235324,-18.771881,-3.58962,2.696596,-59.003517,-0.44295543,1.5047754,3.2863302
629,83.068596,-1.3068902,0.83284473,8.788855,0.9689747,0.7714143,-35.18846,-3.0396814,-1.743495,-68.05913,-0.9608841,-15.690123,-1.7611325
756,121.346535,0.85946375,0.7295741,2.2022846,0.8825587,0.66958153,-26.794395,-4.159445,-0.8246144,-55.95101,-0.78291726,3.2287014,1.830454
1372,83.04556,0.529785,0.20510428,-9.836938,1.7103982,0.8546724,-19.715843,-2.1174283,-1.5571705,-89.45758,0.7375386,1.742602,0.49411026
497,262.82773,-1.4368758,-0.16980971,5.8689384,-0.826514,4.6101537,-29.47023,-0.92382807,13.664484,114.30253,-2.4595063,-32.8411,-6.9467607
1391,76.664536,1.0651006,0.040922076,-15.238948,1.9461643,0.25567108,-20.249567,-2.3813548,1.3212861,-73.70522,1.4829912,-16.111427,-1.2173802
518,164.996,2.902441,-0.39030436,15.856429,0.96822786,1.4349954,-22.687717,-0.072790176,10.610431,-28.638336,-0.46957842,-11.009385,-2.9646769
422,399.64322,-4.569933,-0.13985838,-8.30125,3.2381327,9.385026,43.243504,0.1043337,7.025912,142.23286,0.6633048,3.089671,4.2152123
86,362.2698,-10.823221,0.56465507,5.9292545,-1.1309952,-1.6608387,40.191864,-0.8626234,-9.357875,133.48747,-1.6135398,3.0872498,5.00212
1200,114.09301,-0.6835961,-0.00040219259,-11.128436,1.8428075,1.1218266,-17.08157,-2.3560352,1.7737656,-63.789642,-0.8497404,3.9131181,1.8745875
1517,63.85223,-0.6522961,0.117599495,-8.455398,-15.012672,1.1152779,-24.126394,2.030893,0.91258526,-93.62292,-1.5706925,2.3810654,1.2788734
365,470.44928,1.6179782,0.962703,14.273894,3.6172564,-0.43692598,54.136917,-0.90342695,16.190065,162.93495,7.971357,3.1348538,7.49321
265,453.80594,1.0086898,0.30703625,-7.3348246,-0.62699556,-2.1166928,52.16869,-1.345576,1.1688349,193.68056,1.7991498,3.336154,12.304605
287,377.14297,-8.418261,2.0909257,-9.923019,-0.84613484,-1.8298837,46.99619,-3.6540084,-9.931293,161.09052,-2.9775298,3.2167573,1.8723378
1586,117.725105,0.9663407,-0.15477471,-15.7392,2.335597,0.40786225,-17.00087,0.75962865,3.047962,-46.10928,3.1174207,-12.981027,-0.38083827
358,512.4966,2.9037414,-0.7229084,14.600941,4.7044992,-0.4731542,59.198357,5.3263593,12.3143635,193.43674,9.0570135,3.4771516,9.217106
54,463.51422,0.08643622,1.6844004,10.72536,-3.5741591,1.9253458,55.015015,20.94917,-5.393156,172.44255,-5.306156,3.6070793,11.896169
1398,71.69379,0.4054552,1.1504775,-5.3186975,-9.076596,0.71651775,-29.368668,-1.1012448,2.9549794,-91.52596,2.0709808,2.3371525,-1.0068886
1204,122.50054,4.087449,-0.15955463,-9.9229765,1.8398015,-0.28800473,-14.90263,-1.6758592,1.130176,-67.93641,4.4490957,2.4442632,3.9789047
903,67.6548,2.3464372,-0.58528435,-13.654525,2.0416372,0.90684444,-17.308752,-2.456048,-0.5455541,-82.21137,-3.3166943,-16.245157,-0.7730173
