sample_id,f_x,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3N2i,pHO,CODo,NH3NO,TempO,pHMBR
1185,1.4146898,-0.01394293,-0.05943234,0.0282398,0.027449885,-0.0049464265,-0.15436262,-0.094057515,0.039988905,-0.75495815,-0.5214134,0.03318036,-0.029492518
810,1.8173734,-0.007310458,-0.0017883809,0.014022174,0.047374457,-0.004177633,-0.036655977,-0.12304024,-0.03831475,-0.5273367,-0.46738186,0.023429334,0.02011642
637,2.1117036,-0.001803939,-0.014362462,0.12831877,0.026556976,-0.01075823,-0.20621136,-0.044672813,0.0021366007,-0.5048745,-0.10514614,-0.062889114,-0.013027641
1590,3.8745215,-0.028911678,0.007748256,-0.018194627,0.032580417,0.014843646,-0.029202938,-0.0895728,-0.10498333,-0.45771447,2.0135615,-0.13078439,-0.25328505
1093,0.37923014,-0.015782237,-0.005130143,-0.040517688,-0.14129479,0.016137362,-0.25242904,-0.041333012,-0.020924823,-1.213946,-0.8082402,-0.0070206737,-0.008725632
730,1.4741759,-0.010487836,0.009907563,0.18571255,0.01609875,0.020822376,-0.24440473,-0.016526494,-0.033063825,-0.65780765,-0.7614032,0.038028013,0.008863237
506,2.181461,0.008285076,0.00062746916,-0.30810854,-0.008339576,-0.013966176,-0.2244402,0.0032067073,0.050021354,0.25353104,-0.33579144,-0.09528094,-0.06672105
1537,0.9444466,0.019987233,-0.00027347187,0.04856596,0.029274374,0.02073172,-0.24727279,-0.032357734,-0.0008816301,-1.0257801,-0.82013625,0.012956558,0.02119578
567,3.7625825,-0.014557273,0.0024208017,0.082312055,0.0040023224,0.064679235,-0.24845457,-0.0130341565,0.021574307,-0.4182632,1.4999317,-0.08730711,-0.04915928
526,1.4539653,-0.027885923,-0.013214889,-0.26341644,-0.025857078,0.029798258,-0.21599412,-0.032208573,0.03275619,-0.03405048,-0.7718106,-0.105210245,-0.037377786
710,2.2467809,-0.016489837,-0.0010378713,0.14201963,0.04563381,0.014183273,-0.14924824,-0.064894035,-0.026765898,-0.3765853,-0.2558374,0.025045557,-0.0076797977
607,1.8723496,-0.00084298966,-0.0038472796,0.110072516,0.027025593,0.009003521,-0.19407935,-0.024739113,0.06410692,-0.9740768,-0.00814337,-0.06531515,0.014747931
765,1.9145331,0.062729955,-0.0045516514,0.15110923,0.04615601,-0.0061957394,-0.139306,-0.044964444,-0.013899103,-0.5623837,-0.5753146,0.06938067,0.013335442
1584,1.859297,0.005450025,-0.012496971,0.026149128,0.030432226,0.0064982288,-0.20010695,0.0021509833,0.025565885,-0.7112916,-0.12248834,-0.059848256,-0.049154237
859,2.4113986,-0.02253957,0.012646976,0.17009003,0.041015055,-0.003028881,0.23775549,-0.31066307,0.032189645,-0.45696497,-0.13812467,-0.033823214,-0.03559052
327,3.0007508,0.0033627788,0.02945262,-0.25940457,0.008336823,0.064757854,-0.095100656,0.021889184,0.052941408,0.21184179,0.015031954,0.026044758,0.0031602988
254,5.1445885,-0.00859618,-0.015658969,0.08790154,0.08582472,0.002732799,0.6648731,0.03405613,-0.039805744,1.7837596,-0.39309952,0.036551043,-0.012387354
322,4.4714317,-0.005269358,-0.004867083,0.16311523,0.062259138,0.01426453,0.551917,0.013652515,0.083144076,0.40817308,0.27929822,0.031826407,-0.044518676
1164,0.91339177,-0.0078050685,0.00021888292,0.058132734,-0.11381043,0.017473359,-0.25022534,0.032683145,-0.035656534,-0.99450815,-0.8166712,0.08008353,0.025039962
1320,1.9440331,0.0028075264,-0.015077535,0.11274557,0.053904526,0.014978106,-0.1377297,-0.033008415,-0.014567102,-0.53723896,-0.44666523,0.006445795,0.019001585
629,1.4632314,0.010794915,0.009570266,0.028249381,0.027057633,0.013235958,-0.22862312,-0.0361701,0.0671573,-0.7671139,-0.53811985,-0.06204329,0.020799404
756,1.5252718,-0.0055005103,0.009465926,0.16419785,-0.14415367,0.019594444,-0.16746968,-0.09003365,-0.027289577,-0.6156382,-0.6164385,0.08468938,-0.004589209
1372,1.177526,-0.010295496,-0.0014238638,0.03930779,-0.11813189,0.0144029055,-0.16721728,-0.045977976,-0.011973001,-0.9924691,-0.44128287,0.003143959,-0.008994287
497,3.6895082,-0.0186326,-0.009154447,-0.19626099,0.00064818986,0.04718405,-0.1932727,-0.0307572,0.056504622,0.7158346,0.48322833,-0.088666365,0.0044155614
1391,1.9199548,-0.005658854,-0.015514938,0.022033839,-0.17356387,0.0025997735,-0.11976121,-0.03546912,0.050239373,-1.0200875,0.32793036,-0.054560527,0.023330307
518,1.8030158,-0.013641451,-0.0037259057,-0.08441325,-0.018511001,0.03589948,-0.22841366,-0.023510603,-0.0076721674,-0.26672572,-0.39031428,-0.06803438,-0.046358358
422,2.642365,-0.014692126,-0.0015639497,-0.119884565,0.03990972,-0.021801198,-0.006042486,0.00927743,-0.12008356,0.37801328,-0.45482606,0.03354388,0.0020778398
86,6.5897217,0.01002273,0.038356807,0.14394753,-0.046570256,0.027448652,0.557378,0.05201994,0.18596298,1.8470645,0.6543337,0.019071708,0.18224904
1200,1.5872993,-0.0076441998,-0.00074968365,0.03528886,0.024489377,0.018883176,-0.16917117,-0.094334394,0.031593513,-0.6670164,-0.57938385,0.057039283,0.019867836
1517,0.85050154,-0.0063833976,-0.011742935,0.08984491,-0.13564965,0.016828077,-0.26030862,0.025979951,-0.0046714516,-1.0250214,-0.84470415,0.06843518,0.0194584
365,6.9637914,-0.020948552,0.032209694,0.113851,0.09164539,0.022415178,0.5348028,0.022928331,-0.021791125,1.7752811,1.3257754,0.020048514,0.1491373
265,4.649587,-0.0035094682,-0.009174951,0.08251616,-0.07302711,0.0027370448,0.600924,-0.009849476,-0.1508152,1.6760648,-0.41426164,0.032651514,-0.0031060395
287,4.894593,0.022692513,0.030501345,0.041118428,-0.07837983,0.0034010678,0.5484454,0.0030816835,-0.18485656,1.6254952,-0.032254763,0.021076517,-0.024166103
1586,2.0051908,0.010931059,-0.012971859,-0.016559191,-0.10055375,0.005530703,-0.19405806,0.009817323,0.015782496,-0.6189666,0.110410206,-0.07164316,-0.050964884
358,7.253637,0.010336695,0.007909693,0.10633363,0.24925426,0.026375644,0.56991833,0.11643938,-0.0077181133,1.7838048,1.3490725,0.031693585,0.09178049
54,5.1051826,-0.04153905,-0.018040441,0.3083415,-0.04596666,-0.05492916,0.3385741,-0.025878409,0.0667645,0.63942796,0.8401346,0.02307319,0.15678552
1398,1.1017296,-0.008989356,0.020026283,0.10134837,-0.17541054,0.018091148,-0.23892848,-0.06406443,0.03902932,-1.094508,-0.4316747,0.012327005,0.0060460092
1204,10.379474,0.2745368,0.082956105,0.31425965,0.085526004,0.11949629,0.13604462,-0.0060756262,0.4203284,0.042610142,5.7128615,0.085668065,0.19282189
903,0.8352845,-0.006463727,0.0037079942,-0.02376805,0.03427832,0.01374036,-0.15320349,-0.05529747,-0.011885143,-0.9748581,-0.8342615,-0.0834623,0.008320937
