Date,CODMBR,resid,upper_threshold,lower_threshold,trend_aware_flag
2021/5/17,376,11.06208064,32.48471159,-36.79181482,0
2021/5/18,387,4.815983134,38.48545071,-42.62603392,0
2021/5/19,354,-4.78575722,42.47552596,-43.0672739,0
2021/5/20,365,-13.90288113,42.55158814,-43.14333608,0
2021/5/21,354,-43.17018797,42.55158814,-43.14333608,1
2021/5/22,355,-44.93495998,43.13094248,-42.56398173,1
2021/5/23,324,-55.22983154,43.13094248,-42.56398173,1
2021/5/24,378,-6.249085556,43.45538268,-42.23954154,0
2021/5/25,351,-55.53719695,45.77891766,-39.91600656,1
2021/5/26,499,109.5589554,45.70285548,-39.83994438,1
2021/5/27,478,49.26630461,45.70285548,-39.83994438,1
2021/5/28,493,38.27886573,42.51079652,-36.64788542,0
2021/5/29,469,8.03864253,36.47820287,-31.47392557,0
2021/5/30,426,-13.93871252,36.47820287,-31.47392557,0
2021/5/31,440,0.283480374,35.70193831,-29.83902721,0
2021/6/1,466,2.931455551,29.39659937,-23.53368827,0
2021/6/2,454,7.027635068,26.4746898,-20.4437921,0
2021/6/3,505,11.38543962,27.17114958,-19.74733231,0
2021/6/4,525,3.711908632,29.52871277,-17.38976912,0
2021/6/5,510,0.904498786,29.52871277,-17.38976912,0
2021/6/6,486,3.015448851,29.52871277,-17.38976912,0
2021/6/7,475,7.613776208,28.44246976,-18.47601213,0
2021/6/8,484,2.502138649,27.17114958,-19.74733231,0
2021/6/9,460,-5.71729111,26.4746898,-20.4437921,0
2021/6/10,520,10.63685909,26.4746898,-20.4437921,0
2021/6/11,516,-0.005089911,28.74545054,-22.71455283,0
2021/6/12,507,6.069471824,33.51026153,-27.47936383,0
2021/6/13,496,18.21921067,32.99695133,-27.99267403,0
2021/6/14,485,35.51697379,34.15150869,-32.34251112,1
2021/6/15,453,-2.952715019,34.29051102,-32.48151345,0
2021/6/16,441,8.276545345,36.34736017,-32.76886831,0
2021/6/17,457,4.983228812,35.39055199,-35.40073182,0
2021/6/18,359,-94.22430038,35.39055199,-35.40073182,1
2021/6/19,346,-85.17635067,36.65561194,-36.66579176,1
2021/6/20,355,-57.15516815,39.43251026,-35.8540184,1
2021/6/21,364,-12.12698215,39.46460856,-39.47478838,0
2021/6/22,340,-35.00138936,37.84380929,-43.74923933,0
2021/6/23,347,-8.27267302,36.03234532,-45.56070329,0
2021/6/24,350,-18.056163,36.03234532,-45.56070329,0
2021/6/25,387,3.234012163,36.03234532,-45.56070329,0
2021/6/26,375,1.789245929,35.47085139,-46.12219722,0
2021/6/27,367,-4.764178987,35.47085139,-46.12219722,0
2021/6/28,351,3.76226151,35.47085139,-46.12219722,0
2021/6/29,361,9.922954908,36.03234532,-45.56070329,0
2021/6/30,354,7.700696325,31.70663882,-39.08464499,0
2021/7/1,345,-7.279849922,34.19528806,-36.59599576,0
2021/7/2,353,-18.5269541,34.41917664,-36.37210717,0
2021/7/3,345,-15.41661068,34.41917664,-36.37210717,0
2021/7/4,366,5.060387789,34.41917664,-36.37210717,0
2021/7/5,352,-3.689003084,34.41917664,-36.37210717,0
2021/7/6,341,-5.325672916,34.19528806,-36.59599576,0
2021/7/7,351,-0.976465264,31.73795602,-39.05332779,0
2021/7/8,364,-0.557933551,39.41745835,-46.73283012,0
2021/7/9,384,-1.200353851,39.38614116,-46.76414732,0
2021/7/10,378,9.175998561,39.38614116,-46.76414732,0
2021/7/11,376,4.807159111,39.38614116,-46.76414732,0
2021/7/12,387,9.3821642,39.41745835,-46.73283012,0
