NH3N2i_raw,DO_raw,interaction_shap_value
137.0,6.8,0.0014072498
236.0,4.5,-0.0155536495
213.0,6.7,0.00063962676
168.0,9.57,-0.007810749
524.0,8.95,0.007877504
176.0,8.9,0.0035179127
198.3,4.2,-0.0030491129
225.0,9.17,0.0048377514
166.8,6.8,0.005227656
387.0,7.6,0.0052561983
310.0,1.4,-0.019021891
175.2,3.3,-0.0058867224
132.2,8.1,-0.0062934235
250.0,6.7,0.002604615
141.0,0.9,0.03270746
166.0,4.4,0.0019066683
286.0,0.2,-0.00544269
256.0,3.77,-0.004036108
123.2,4.1,0.0064352416
190.0,9.14,0.006591879
155.0,10.2,-0.009614646
185.3,1.9,-0.00558313
247.0,5.5,0.0019709673
163.8,1.3,0.0071895495
448.0,3.7,-0.0073540956
150.7,4.3,0.0030959006
185.3,6.5,0.0074308477
213.0,10.48,0.0042286366
108.9,6.3,-0.0027770912
268.0,8.2,0.00716942
103.0,3.6,0.0033417763
135.3,5.3,-0.0019289777
270.0,6.5,0.0050194906
279.0,9.0,0.009734467
303.8,2.4,-0.0059306864
174.0,4.87,0.0042026583
131.2,5.3,0.0011789422
159.6,5.3,-0.0016689708
269.0,1.9,-0.0068309866
210.9,4.7,0.002643284
162.4,5.9,0.0020115376
336.0,7.9,0.004046904
142.6,2.9,0.0063076243
251.0,8.2,0.0005403757
80.0,3.8,0.003593713
224.0,8.94,-0.0034088418
275.0,4.8,0.00022480544
140.6,1.5,0.023739927
165.4,5.5,0.007592935
177.0,5.0,0.0023560245
152.0,3.8,0.0028931387
354.0,2.3,-0.0044914726
153.0,0.8,0.0050264522
174.0,3.5,0.0029688887
157.2,3.3,0.0031706542
368.0,3.9,-0.0032749902
185.0,7.17,0.0042238254
192.0,8.7,-0.0005245004
269.0,7.9,0.0017437823
180.0,5.19,0.0043989904
152.0,4.5,0.00052586105
147.5,4.1,0.006307613
134.0,3.7,0.0012327703
139.6,3.8,0.0030748881
174.0,10.57,-0.005212903
227.0,2.6,-0.00423648
256.0,4.73,-0.0029977579
153.0,6.8,-0.007964212
262.0,9.28,0.010831878
472.0,8.98,-0.0010320768
249.0,8.6,0.00037133018
328.0,0.0,-0.003069207
241.0,5.6,0.005223682
185.0,8.2,0.0004925281
120.0,8.8,-0.0074466816
187.4,3.1,-0.005732514
447.0,6.02,0.0020723706
215.7,5.0,0.0024595205
128.0,6.5,-0.0089030545
130.0,9.5,-0.009714015
188.2,4.2,-0.0033283234
251.0,7.7,0.004344128
215.0,8.1,0.00071916543
229.0,2.5,-0.032837883
221.0,10.84,0.0035702214
285.0,10.7,0.014569529
