NH3NO_raw,DO_raw,interaction_shap_value
2.6,8.24,-0.0057397787
4.1,7.5,2.4335459e-05
4.1,5.2,0.002888862
4.5,5.3,0.0013680747
6.2,3.4,0.012720389
6.8,8.72,0.011652628
1.6,10.3,0.018456545
2.6,7.0,-0.0066778576
3.2,4.6,-0.0013988111
3.2,8.1,-0.004663214
16.2,5.5,0.010134872
5.37,7.2,0.006930439
4.1,7.4,5.16586e-05
4.0,6.5,0.0007445384
9.7,0.6,-0.024489302
5.4,0.5,0.01896447
2.9,2.5,-0.0021535829
3.3,9.25,0.012281645
4.0,4.7,0.0022692233
6.4,2.9,0.00951764
3.1,6.5,-0.004188114
6.9,2.4,0.00029401854
2.8,6.21,-0.006039748
12.8,4.6,0.013131037
4.3,5.1,0.0020228445
3.2,2.9,-0.0027030576
3.3,8.9,0.009389798
1.9,9.2,0.019006558
2.9,10.24,0.019006573
4.6,8.0,0.004050357
2.3,8.6,-0.0073306104
3.6,3.7,-0.0024321657
2.5,4.2,-0.004111832
2.4,8.57,-0.0071580946
2.1,5.1,-0.0035419716
2.8,11.06,0.016514748
1.6,10.8,0.019306019
2.8,2.4,-0.0033615232
7.2,4.4,-0.0017735446
7.6,8.87,0.023304425
3.0,6.2,-0.0028424244
3.4,8.3,-0.0057357596
11.3,7.8,0.04922343
3.9,6.5,0.00039176643
5.0,7.9,0.016531447
7.8,2.2,-0.00069947913
3.5,8.4,-0.005332889
2.9,1.9,-0.0046262294
1.6,8.5,-0.0065469914
4.21,1.0,-0.0006855801
1.7,11.1,0.01863258
3.2,8.8,-0.005354615
4.4,7.6,0.00010341592
4.8,7.9,0.008080918
2.0,9.5,0.01959987
3.2,6.3,-0.0023220144
7.8,2.2,-0.026147826
3.5,2.7,-0.0011516102
7.6,0.0,0.0009237565
4.3,7.5,0.0005337
3.5,6.8,-0.0038640995
3.9,6.1,-5.554594e-05
2.2,5.2,-0.003528202
2.4,6.3,-0.0071035083
2.8,3.3,-0.000919763
3.5,7.8,-0.0048831664
2.2,11.54,0.018942378
2.1,6.2,-0.0043769022
2.3,4.4,-0.004573755
4.3,8.57,-8.409284e-05
2.5,5.7,-0.0031185579
1.6,10.1,0.019054532
2.4,7.3,-0.0029922202
2.9,10.19,0.018456526
5.3,8.93,-0.0568732
2.9,8.0,-0.0033120103
3.5,7.1,-0.004175324
6.3,5.3,0.005867869
6.4,4.9,0.006234475
3.3,0.8,-0.0023179688
5.7,9.4,-0.077173635
4.6,8.6,0.0048201755
5.1,8.1,0.015595518
4.3,9.8,-0.0073805824
5.6,2.0,0.03102545
10.6,2.8,-0.1029081
3.4,3.1,-5.1273033e-05
3.1,8.7,-0.004689241
2.5,2.2,-0.006042734
3.8,9.36,-0.007755704
3.5,0.0,-0.022740647
4.4,9.7,-0.0021226183
7.9,3.2,-0.0037715621
3.4,5.6,-0.003204499
3.9,6.3,0.0007208027
3.6,2.5,-9.198859e-05
6.3,10.47,-0.06936018
7.51,3.2,0.00019297376
6.3,8.0,0.0051188464
7.2,9.6,-0.0015535206
2.4,6.6,-0.0066785836
5.3,5.7,0.01704266
2.1,11.76,0.016943723
4.7,3.3,0.0044651777
1.6,11.1,0.01879241
2.6,4.8,-0.0038191979
5.4,2.8,0.008308845
3.8,4.2,0.0025275722
