P_raw,DO_raw,interaction_shap_value
17.8,5.5,0.006406421
18.6,8.2,0.0024330001
17.4,7.6,0.0020596348
17.5,6.3,0.0049330685
59.7,4.3,-0.0031219516
20.9,6.7,0.0046591163
59.9,6.8,0.00624338
61.9,4.5,-0.0043367036
16.7,6.7,0.0020900024
19.7,9.57,0.0024186969
19.1,8.95,-0.0005766973
17.3,8.9,-0.0019111801
49.4,4.2,0.003198158
19.2,9.17,0.0017534718
38.5,6.8,0.0112740835
64.1,7.6,0.0075550377
17.8,1.4,-0.010731518
49.6,3.3,0.002035059
49.4,8.1,-0.0071325228
63.0,6.7,0.0043498054
45.5,0.9,-0.015862085
59.5,4.4,-0.00041941553
16.3,0.2,-0.004809115
16.7,3.77,-0.0039449446
49.6,4.1,0.0036558248
18.2,9.14,0.00019168481
14.9,10.2,0.010588549
55.9,1.9,0.0014868081
17.9,5.5,0.0073029418
56.7,1.3,0.0040789247
37.9,3.7,0.0005541928
56.8,4.3,0.0017328747
49.6,6.5,-0.0035748705
26.0,10.48,-0.0040865615
59.4,6.3,-0.007853819
19.2,8.2,0.0027609244
59.8,3.6,-0.0001805285
49.1,5.3,0.00029805442
17.5,6.5,0.001467145
18.9,9.0,0.002404023
17.0,2.4,-0.0027943533
21.1,4.87,0.0015205685
49.6,5.3,-0.0022401568
55.9,5.3,-0.0029946943
21.3,1.9,-0.0001948215
58.7,4.7,3.7129736e-05
49.0,5.9,-0.001273267
24.3,7.9,0.006721163
58.7,2.9,0.0017177388
17.7,8.2,0.0027609318
59.1,3.8,0.0021387003
22.6,8.94,0.0026440434
59.8,4.8,-0.0028543342
49.0,1.5,0.004493594
49.4,5.5,-0.003298303
49.2,5.0,0.0014266875
61.6,3.8,-0.003741446
20.8,2.3,-0.0058446415
54.1,0.8,0.003449291
18.0,3.5,-0.002869485
55.3,3.3,0.003697183
33.8,3.9,0.00015904196
17.7,7.17,0.004465224
40.0,8.7,0.004242198
18.7,7.9,0.0030638222
20.4,5.19,0.0065671876
59.8,4.5,-0.0025666053
59.6,4.1,-0.0014445744
61.0,3.7,-0.0037414497
49.1,3.8,0.016076878
34.1,10.57,-0.003990248
17.9,2.6,-0.0036458392
15.4,4.73,-0.0024053399
49.0,6.8,-0.0024055764
19.3,9.28,0.0048868842
27.2,8.98,0.0038102753
19.1,8.6,0.00285153
19.6,0.0,-0.0032537766
30.8,5.6,0.008992949
39.3,8.2,0.004213862
59.0,8.8,0.0038357305
49.5,3.1,0.0031248368
19.2,6.02,0.006070451
49.3,5.0,0.0022885073
48.9,6.5,0.014026625
15.9,9.5,0.016718224
30.6,4.2,-0.00942938
29.7,7.7,0.007334765
56.9,8.1,-0.003493188
49.4,2.5,0.00478627
42.2,10.84,-0.003482841
14.4,10.7,0.024706269
49.1,5.1,0.0074938964
43.7,7.3,0.028015826
18.1,8.81,0.002191062
30.6,4.9,-0.0005396316
22.2,4.4,0.0032719504
17.5,8.1,0.002735898
59.6,4.4,-0.002381537
61.1,4.5,-0.004030998
36.6,3.4,-0.00017523393
69.5,5.4,-0.0025639045
18.7,4.8,-0.00072620437
19.1,6.4,0.0040570945
49.4,2.9,0.002874883
18.5,2.84,-0.004165301
17.0,10.4,0.01417825
49.0,5.1,0.0002980557
48.9,6.0,0.022716708
20.0,9.19,0.004721079
48.9,5.2,0.023386288
61.2,4.6,-0.0046444666
14.8,7.6,0.0017071888
69.4,5.8,-0.0021301291
18.4,7.83,0.0020874515
17.3,11.1,0.010493737
60.9,4.1,-0.0037414478
35.0,0.0,-0.0012599379
18.9,7.2,0.003396525
57.9,5.9,-0.00047944486
22.9,4.7,0.0042499322
17.3,4.0,-0.002947837
15.2,6.7,0.0043891054
21.5,6.5,0.006780577
21.4,8.6,0.004729455
59.3,8.9,0.009682892
21.4,6.0,0.0076368805
16.7,9.6,0.006792836
20.2,6.6,0.004786933
57.3,2.8,0.0037344806
58.4,5.3,-0.00015961938
18.6,3.3,-0.0029295664
63.4,5.8,-0.0037134583
16.3,6.0,0.004174616
18.7,3.1,-0.004432177
18.0,3.9,-0.0029929914
18.3,6.0,0.006585936
49.4,4.2,0.003750939
49.4,6.8,-0.0058485493
18.9,3.3,-0.004513668
38.0,6.9,0.007604696
15.1,9.3,0.0101587325
49.5,3.6,0.0036558174
49.5,7.6,-0.005719105
49.4,5.7,-0.00032603554
41.1,10.9,-0.0020603612
57.3,3.5,0.0027503967
36.8,9.01,0.0055927914
40.4,3.1,-0.017161455
17.2,5.9,0.0052445717
16.5,7.9,0.0018261913
49.4,5.3,-0.00276067
19.2,8.24,0.0020480342
25.1,7.5,0.007442424
21.6,5.2,0.011297656
49.2,5.3,-0.002841731
59.2,3.4,0.00065379404
17.4,8.72,0.0017240588
14.7,10.3,0.007558994
58.7,7.0,-0.0027695773
49.5,4.6,0.0031231316
19.2,8.1,0.0028848127
59.6,5.5,-0.008895497
58.2,7.2,-0.0069760634
20.5,7.4,0.003079949
21.9,6.5,0.0074826367
58.8,0.6,0.0041485187
15.9,0.5,-0.0032014325
17.1,2.5,-0.005100701
20.3,9.25,0.0046925284
