NH3NO_raw,NH3N2i_raw,interaction_shap_value
4.7,293.0,-0.00930886
2.0,262.0,0.032917902
2.8,241.0,0.016208608
3.5,352.0,0.016028017
6.2,205.0,0.0043780804
3.2,286.0,0.020880587
4.2,254.0,0.0020838678
6.3,135.0,0.006177146
3.5,195.0,-0.004255959
2.2,143.0,-0.004877057
2.8,268.0,0.020446088
3.1,228.0,-0.0032330928
6.5,184.0,0.0066201803
5.31,143.0,0.005324131
2.2,146.0,-0.011641719
5.21,142.0,-0.0013608653
3.4,272.0,0.019186564
4.9,194.0,-0.0049283933
2.2,161.0,-0.00042730756
2.5,268.0,0.019560723
2.8,142.0,-0.0058198534
5.4,185.0,-0.005441757
10.4,102.0,-0.102290034
1.2,170.0,-0.0027386658
4.3,162.0,0.00743345
1.5,185.0,0.00064252317
3.2,282.0,0.020352177
2.7,378.0,0.022765076
2.4,196.7,-0.008467115
2.9,197.0,-0.0022621267
3.1,258.0,0.020519659
3.5,151.0,0.005058715
4.2,274.0,0.008674851
7.7,112.3,-0.074989885
5.9,185.0,0.0002446156
7.9,153.0,-0.07489158
2.1,163.1,0.0017830104
2.9,165.2,-0.0030831932
4.3,278.0,-0.010087948
3.4,320.0,0.017560475
3.5,124.0,0.0073837107
2.9,376.0,0.011258017
2.7,351.0,0.012120258
6.8,155.0,0.009529323
4.3,247.0,-0.007387247
5.5,141.3,0.00596539
5.5,214.0,0.00017821556
3.2,258.0,0.01989951
5.8,484.0,-0.0077843554
4.2,224.0,-0.0032374163
3.2,132.0,0.0013752352
1.5,181.0,-0.0014934242
2.2,200.0,-0.006029753
3.4,162.0,0.005622329
5.8,154.7,-0.0024599414
3.9,185.0,0.0027997657
7.7,143.0,-0.025404444
2.5,42.0,0.0043233093
3.6,131.7,0.0017403364
3.1,163.2,0.0023348145
5.21,129.0,0.0048717614
2.6,202.0,0.00030922517
2.8,191.0,-0.0020645633
8.9,366.0,0.01755895
7.1,149.0,0.012096062
4.4,201.0,-0.0037803047
2.8,143.3,-0.007676322
4.4,217.0,-0.0027705003
3.1,120.5,0.005095156
10.6,210.0,0.015290787
2.5,254.0,0.015569301
3.8,195.0,-0.0057327384
3.2,289.0,0.022339318
4.6,145.0,0.0064429063
4.0,195.0,-0.0052109277
3.0,121.0,0.008576415
2.2,295.0,0.033008017
5.3,258.0,-0.004931025
2.7,138.0,-0.0014408194
1.5,213.0,0.0070731565
3.1,162.7,-0.0038596445
2.3,188.0,-0.001233601
8.8,162.0,-0.015084398
8.2,192.0,0.06312898
3.8,121.8,0.007757785
4.5,146.5,0.0040882267
9.5,149.0,0.010358829
9.7,131.2,-0.03906317
1.6,164.0,-0.0019194596
2.8,168.6,-0.003632884
5.6,156.6,0.0018158052
3.2,210.0,-0.0039167637
2.2,203.0,-0.003961114
8.6,151.4,-0.030123523
5.4,235.0,-0.004269492
2.5,287.0,0.021478716
2.8,342.0,0.021442566
3.2,121.4,0.0066027474
3.9,480.0,0.008508243
2.9,184.0,0.0037537692
3.1,186.0,0.0032759644
3.5,263.0,0.019771622
3.6,274.0,0.017875638
4.5,260.0,-0.008557253
2.5,87.0,0.00708838
3.2,264.0,0.020993922
3.4,137.0,0.0025745826
6.2,236.0,-0.11082469
2.6,213.0,-0.0031972032
5.1,168.0,-0.0041555483
4.3,524.0,-0.009701844
4.2,176.0,0.0037008747
7.5,198.3,0.051126625
4.8,225.0,-0.0030408497
7.2,166.8,0.009864797
11.4,387.0,-0.007326848
9.5,310.0,0.009427022
5.7,175.2,-0.012474035
5.2,132.2,0.00092343986
1.8,250.0,0.025885822
8.9,141.0,0.023241442
2.8,166.0,0.0020556776
3.1,286.0,0.022349536
4.8,256.0,-0.008371741
2.6,123.2,-0.0061299726
6.6,190.0,0.0068366546
1.5,155.0,0.0004643388
4.1,185.3,-0.0041410034
4.3,247.0,-0.0077952556
3.5,163.8,0.0008762507
5.9,448.0,-0.01788273
4.8,150.7,0.00463688
3.1,185.3,-0.0046960367
2.8,213.0,-0.0025044605
5.2,108.9,0.008342359
4.9,268.0,-0.009335451
3.1,103.0,0.008353714
7.6,135.3,-0.029873256
7.7,270.0,0.04670469
3.6,279.0,0.0196773
3.9,303.8,0.009172726
5.0,174.0,-0.0035330113
1.5,131.2,-0.010074325
4.3,159.6,0.0029268498
4.6,269.0,-0.008953225
5.5,210.9,0.0066680624
6.0,162.4,0.0038103806
3.5,336.0,0.019247614
4.9,142.6,0.0040882267
4.6,251.0,-0.007984046
3.2,80.0,0.009748185
5.1,224.0,0.0003858454
5.3,275.0,-0.013833106
4.4,140.6,0.0024203956
5.6,165.4,-0.0049454942
5.21,177.0,-0.0011084927
2.7,152.0,0.00050067995
2.8,354.0,0.009976305
6.7,153.0,0.010415998
2.4,174.0,-0.00095338933
6.3,157.2,0.0038214861
3.8,368.0,0.015124612
4.3,185.0,0.0027671596
1.7,192.0,-0.0060160947
3.9,269.0,0.008753929
2.1,180.0,-0.0027112458
2.8,152.0,0.0017437963
4.5,147.5,0.003978744
2.1,134.0,-0.012457577
9.8,139.6,0.023732293
5.0,174.0,-0.0034557916
3.6,227.0,-0.0039650816
5.1,256.0,-0.0049548075
7.8,153.0,-0.023154879
2.1,262.0,0.033029914
4.5,472.0,-0.010841895
3.3,249.0,0.013037462
5.8,328.0,0.007883012
3.3,241.0,0.013116408
1.3,185.0,-0.0006353948
5.8,120.0,0.007600854
3.5,187.4,-0.006516972
4.3,447.0,-0.009452555
3.2,215.7,0.006818911
8.2,128.0,-0.06800334
5.2,130.0,0.0051924954
4.8,188.2,-0.0037667379
3.8,251.0,0.013125431
5.2,215.0,0.00044687092
9.5,229.0,-0.059114546
2.9,221.0,-0.0015630564
7.6,285.0,0.01897496
11.5,143.5,-0.031209894
5.3,155.6,-0.0006623529
2.4,364.0,0.025577303
3.8,152.5,0.004140132
6.1,366.0,-0.03685978
3.6,258.0,0.019837242
6.1,156.0,-0.004876691
1.9,167.0,-0.003323282
2.8,242.0,0.015782595
2.6,256.0,0.015928615
4.0,260.0,0.009178497
2.5,265.0,0.01981291
3.1,158.6,0.0023765406
3.0,272.0,0.018331844
2.3,249.0,0.025937907
7.9,164.2,-0.028108854
6.1,145.0,0.006743744
3.3,226.0,-0.0041440763
6.2,140.0,0.0054240525
7.2,295.0,-0.17132437
5.6,228.0,0.0016883388
3.6,226.0,-0.003625432
2.3,188.0,0.00013235025
1.8,233.0,0.026041321
2.1,164.0,-0.004377153
2.6,234.0,0.016095694
