Date,CODMBR,Diff1,Hampel,STL,Wavelet-strong
2021/4/18,323,0,0,0,0
2021/4/19,346,0,0,0,0
2021/4/20,385,0,0,0,0
2021/4/21,374,0,0,0,0
2021/4/22,366,0,0,0,0
2021/4/23,378,0,0,0,0
2021/4/24,389,0,0,1,0
2021/4/25,331,0,0,0,0
2021/4/26,315,0,1,1,1
2021/4/27,365,0,0,0,0
2021/4/28,356,0,0,0,0
2021/4/29,370,0,0,0,0
2021/4/30,361,0,0,0,0
2021/5/1,362,0,0,0,0
2021/5/2,357,0,0,0,0
2021/5/3,334,0,0,0,0
2021/5/4,351,0,0,0,0
2021/5/5,325,0,0,0,0
2021/5/6,352,0,0,0,0
2021/5/7,345,0,0,0,0
2021/5/8,357,0,0,0,0
2021/5/9,345,0,0,0,0
2021/5/10,375.1,0,0,1,0
2021/5/11,365,0,0,0,0
2021/5/12,354,0,0,0,0
2021/5/13,364,0,0,0,0
2021/5/14,375,0,0,0,0
2021/5/15,384,0,0,0,0
2021/5/16,378,0,0,0,0
2021/5/17,376,0,0,0,0
2021/5/18,387,0,0,0,0
2021/5/19,354,0,0,0,0
2021/5/20,365,0,0,0,0
2021/5/21,354,0,0,1,0
2021/5/22,355,0,0,1,0
2021/5/23,324,0,0,1,0
2021/5/24,378,0,0,0,0
2021/5/25,351,0,0,1,1
2021/5/26,499,1,0,1,0
2021/5/27,478,0,0,1,0
2021/5/28,493,0,0,0,0
2021/5/29,469,0,0,0,0
2021/5/30,426,0,0,0,0
2021/5/31,440,0,0,0,0
2021/6/1,466,0,0,0,0
2021/6/2,454,0,0,0,0
2021/6/3,505,0,0,0,0
2021/6/4,525,0,0,0,0
2021/6/5,510,0,0,0,0
2021/6/6,486,0,0,0,0
2021/6/7,475,0,0,0,0
2021/6/8,484,0,0,0,0
2021/6/9,460,0,0,0,0
2021/6/10,520,1,0,0,0
2021/6/11,516,0,0,0,0
2021/6/12,507,0,0,0,0
2021/6/13,496,0,0,0,0
2021/6/14,485,0,0,1,0
2021/6/15,453,0,0,0,0
2021/6/16,441,0,0,0,0
2021/6/17,457,0,0,0,1
2021/6/18,359,1,0,1,0
2021/6/19,346,0,0,1,0
2021/6/20,355,0,0,1,0
2021/6/21,364,0,0,0,0
2021/6/22,340,0,0,0,0
2021/6/23,347,0,0,0,0
2021/6/24,350,0,0,0,0
2021/6/25,387,0,0,0,0
2021/6/26,375,0,0,0,0
2021/6/27,367,0,0,0,0
2021/6/28,351,0,0,0,0
2021/6/29,361,0,0,0,0
2021/6/30,354,0,0,0,0
2021/7/1,345,0,0,0,0
2021/7/2,353,0,0,0,0
2021/7/3,345,0,0,0,0
2021/7/4,366,0,0,0,0
2021/7/5,352,0,0,0,0
2021/7/6,341,0,0,0,0
2021/7/7,351,0,0,0,0
2021/7/8,364,0,0,0,0
2021/7/9,384,0,0,0,0
2021/7/10,378,0,0,0,0
2021/7/11,376,0,0,0,0
2021/7/12,387,0,0,0,0
2021/7/13,354,0,0,0,0
2021/7/14,365,0,0,0,0
