theoretical_q,sample_q
-0.20773860740850336,-0.1356890639620595
-0.20572225421428422,-0.13500976789594074
-0.20370673707502018,-0.13476740159874864
-0.20169204711676836,-0.13455164566610942
-0.1996781754899349,-0.13068423372441776
-0.19766511336897846,-0.12972734684028214
-0.19565285195211476,-0.12749247531650618
-0.1936413824610252,-0.12692195443188245
-0.1916306961405653,-0.12589230735972798
-0.18962078425847548,-0.12446046801893546
-0.18761163810509457,-0.12034330866363069
-0.1856032489930734,-0.11630819192447191
-0.183595608257092,-0.11239021160929238
-0.18158870725357704,-0.11236149777897406
-0.17958253736042112,-0.11158633911052569
-0.17757708997670504,-0.10894994569478778
-0.17557235652242012,-0.10791316764611261
-0.17356832843819242,-0.10790607166285915
-0.17156499718500984,-0.1053940799522147
-0.16956235424394875,-0.10357314833861414
-0.16756039111590415,-0.1034257084080745
-0.16555909932131999,-0.10330711263763297
-0.1635584703999211,-0.10192665172527801
-0.16155849591044755,-0.10084184726168123
-0.15955916743038961,-0.09962524442595194
-0.15756047655572364,-0.09864378401463109
-0.1555624149006513,-0.09693089547388027
-0.15356497409733774,-0.09432881343630019
-0.1515681457956531,-0.09366162780455317
-0.1495719216629144,-0.0907764131928018
-0.1475762933836282,-0.09064073314892392
-0.1455812526592365,-0.0898433135518228
-0.14358679120786175,-0.08932788692077077
-0.14159290076405398,-0.08817991318723363
-0.13959957307854007,-0.08670788273651528
-0.13760679991797212,-0.08657859724660807
-0.13561457306467942,-0.08580221923257889
-0.1336228843164198,-0.08332736481662956
-0.13163172548613258,-0.08252317837476389
-0.12964108840169333,-0.07701064262699597
-0.12765096490566902,-0.07147160582348215
-0.12566134685507402,-0.0695611531674833
-0.12367222612112845,-0.06914568875566762
-0.12168359458901579,-0.06861295276486955
-0.11969544415764322,-0.06735243792406038
-0.11770776673940202,-0.06693044720387588
-0.11572055425992858,-0.06686111869275038
-0.11373379865786788,-0.06468446217938362
-0.11174749188463647,-0.062384766094185404
-0.10976162590418664,-0.06182696046075051
-0.10777619269277265,-0.061673753766960104
-0.10579118423871593,-0.061354919461252634
-0.10380659254217316,-0.06091029886059349
-0.10182240961490388,-0.05984628155723118
-0.09983862748003897,-0.058545716426562484
-0.09785523817185104,-0.050157721616449866
-0.09587223373552466,-0.048715930806531256
-0.09388960622692702,-0.04725318064483337
-0.09190734771238122,-0.04390445002678126
-0.08992545026843772,-0.043597450612625446
-0.08794390598164899,-0.04190400986572734
-0.08596270694834338,-0.037206715839252565
-0.08398184527439964,-0.03704996176744198
-0.08200131307502345,-0.0338026842393298
-0.0800211024745233,-0.03224523864376554
-0.07804120560608716,-0.031948680077130684
-0.07606161461156098,-0.031938801543470896
-0.07408232164122597,-0.03132509408296935
-0.07210331885357829,-0.028623465397291124
-0.07012459841510824,-0.026395857089770044
-0.06814615250007977,-0.024071055914576957
-0.0661679732903119,-0.022938351212482333
-0.06419005297495954,-0.01621559495005605
-0.06221238375029458,-0.015570388183407316
-0.06023495781948914,-0.015534821678413219
-0.058257767392397034,-0.015183114272110774
-0.05628080468533795,-0.014160822694071715
-0.05430406192088056,-0.011609276733272205
-0.05232753132762619,-0.010394608642124128
-0.05035120513999409,-0.008115267912037993
-0.048375075598005926,-0.008085091224312939
-0.04639913494707066,-0.006501605452323514
-0.04442337543777113,-0.0057909169547866145
-0.042447789325649035,-0.0035850674519333414
-0.04047236887099226,-0.0029799411936093758
-0.03849710633862122,0.001945911744179842
-0.036521993997675424,0.0021097774462959453
-0.034547024121401745,0.0021423651937602928
-0.032572188986941586,0.002816926453799104
-0.030597480875118398,0.0032194139547695065
-0.028622892070226863,0.003547181661476261
