,pH2i,pHO,pHMBR
456,7.6,8.2,8.2
457,7.4,8.2,8.2
458,7.2,8.2,8.2
459,7.6,8.2,8.2
460,7.7,8.2,8.2
461,7.9,8.1,8.1
462,7.5,7.9,7.9
463,7.6,8.2,8.2
464,7.6,8.3,8.3
465,7.6,8.3,8.3
466,7.8,8.3,8.3
467,7.6,8.3,8.3
468,7.8,8.2,8.2
469,7.5,8.2,8.2
470,8.2,8.2,8.2
471,8.1,8.4,8.4
472,8.3,8.4,8.4
473,8.5,8.4,8.4
474,8.2,8.4,8.4
475,8.4,8.4,8.4
476,8.2,8.4,8.4
477,7.8,8.2,8.2
478,7.6,8.2,8.2
479,7.9,8.2,8.2
480,8.1,8.4,8.4
481,8.3,8.3,8.3
482,8.6,8.3,8.6
483,8.4,8.3,8.6
484,8.7,8.3,8.6
485,8.5,8.2,8.5
486,7.6,8.2,8.2
487,7.9,8.4,8.4
488,8.1,8.4,8.4
489,8.3,8.4,8.4
490,8.6,8.2,8.2
491,8.4,8.2,8.2
492,8.7,8.2,8.2
493,8.5,8.2,8.2
494,9,8.2,8.2
495,7.1,8.5,8.5
496,7.4,8.5,8.5
497,7.5,8.3,8.3
498,8.5,8.4,8.4
499,8.4,8.4,8.4
500,8.3,8.4,8.4
501,8.2,8.3,8.3
502,8.5,8.2,8.2
503,8.7,8,8
504,9.8,8.1,8.1
505,9.3,7.9,7.9
506,9.4,8.2,8.2
507,9.6,8.2,8.2
508,9.5,8.2,8.2
509,9.4,8.2,8.2
510,9.3,8.3,8.3
511,9.4,8.4,8.4
512,9.3,8.4,8.4
513,9.2,8.3,8.3
514,9.3,8.2,8.2
515,9.5,8.2,8.2
516,9.4,8.2,8.2
517,9.5,8.3,8.3
518,9.6,8.3,8.3
519,9.4,8.3,8.3
520,9.5,8.3,8.3
521,9.3,8.2,8.2
522,9.4,8.2,8.2
523,9.5,8.2,8.2
524,9.4,8.2,8.2
525,9.3,8.2,8.2
526,9.3,8,8
527,9.2,8,8
528,9.1,8,7.9
529,8.8,8.1,8.1
530,8.94,8,8
531,8.6,8,8
532,8.7,8,8
533,8.9,7.9,7.9
534,8.5,7.8,7.8
535,8.4,7.7,7.7
536,8.8,7.1,6.9
537,8.7,7.2,7
538,9.3,6.7,6.7
539,8.5,6.5,6.5
540,8.8,6.5,6.5
541,8.7,6.3,6.3
542,8.7,6.4,6.4
543,8.8,6.4,6.4
544,8.8,6.5,6.5
545,8.7,6.5,6.5
546,9,6.4,6.4
547,8.8,6.7,6.7
548,8.9,6.4,6.4
549,9.3,6.4,6.4
550,9.2,6.3,6.3
551,9.1,6.3,6.3
552,9.1,6.2,6.2
553,9,6.1,6.1
554,8.8,6.2,6.2
555,8.9,6.2,6.2
556,8.8,6.1,6.1
557,9.1,6.2,6.2
558,9.2,6.5,6.5
559,9,6.4,6.4
560,9.1,6.4,6.4
561,8.9,6.5,6.5
562,8.9,6.6,6.6
563,8.7,6.8,6.8
564,8.8,6.9,6.9
565,9.2,6.5,6.5
566,8.9,6.3,6.3
567,8.9,6.4,6.4
568,8.9,6.4,6.4
569,8.8,6.4,6.4
570,8.9,6.5,6.5
571,8.9,6.6,6.6
572,8.8,6.7,6.7
573,8.9,6.7,6.7
574,8.9,6.3,6.3
575,8.8,6.3,6.3
576,8.9,6.7,6.7
577,8.9,6.8,6.8
578,8.9,6.7,6.7
579,8.8,6.8,6.7
580,8.8,6.7,6.7
581,8.9,6.6,6.6
582,8.8,6.6,6.6
583,8.8,6.5,6.5
584,8.9,6.5,6.5
585,8.9,6.5,6.5
586,8.7,6.5,6.5
587,8.8,6.3,6.3
588,8.7,6.1,6.1
589,8.8,6.1,6.1
590,8.5,6.1,6.1
591,8.5,6.1,6.1
592,8.7,6.1,6.1
593,8.7,6.1,6.1
594,8.8,6.2,6.2
595,8.7,6.2,6.2
596,8.8,6.2,6.2
597,8.9,6.2,6.2
598,8.6,6.1,6.1
599,8.7,6.2,6.2
600,8.7,6.2,6.2
601,8.5,6.2,6.2
602,8.6,6.2,6.2
603,8.7,6.2,6.2
604,8.8,6.2,6.2
605,8.6,6.1,6.1
606,8.7,6.1,6.1
607,8.7,6.1,6.1
608,8.6,6.1,6.1
609,8.8,6.1,6.1
610,8.5,6.2,6.2
