,NH3-N2i,NH3-NO,NH3NMBR
362,153,7.8,7.1
363,143,7.7,7.2
364,153,7.6,7.3
365,149,7.1,7.3
366,163,7.3,7.2
367,150,8.9,8.5
368,159,8.2,8.3
369,164,7.9,8.1
370,176,7.6,7
371,156,7.72,7.2
372,177,7.5,7.3
373,165,7.6,6.8
374,184,7.01,6.4
375,163,6.9,6.7
376,171,6.8,6.5
377,184,6.5,6.3
378,177,6.7,6.1
379,164,6.4,6.2
380,184,6.5,6.4
381,160,5.7,5.9
382,175,6.52,5.6
383,165,8.6,7.8
384,155,7.6,7.5
385,167,7.4,7.2
386,88,6.7,6.5
387,124,6.3,6
388,135,6.2,6.1
389,120,5.8,5.6
390,171,5.37,5.1
391,228,5.99,5.5
392,201,6.3,5.7
393,217,6.2,5.6
394,185,5.9,5.5
395,195,5.8,5.6
396,175,5.7,5.4
397,166,5.5,5.3
398,147,4.7,4.3
399,151,6.1,5.9
400,142,5.6,5.5
401,146,5.5,5.3
402,153,5.7,5.2
403,143,5.3,5.2
404,154,5.4,5.3
405,146,4.7,4.9
406,150,4.2,3.7
407,142,4.6,4.2
408,149,4.5,4.1
409,156,4.4,4
410,145,4.2,3.7
411,152,4.1,3.4
412,164,4.3,3.6
413,148,3.4,3.1
414,150,3.3,3
415,142,3.5,3
416,149,2.9,2.8
417,144,3.1,2.7
418,158,3.3,2.9
419,164,3.5,2.8
420,150,3.2,2.7
421,138,3,2.5
422,152,2.8,2.1
423,143,2.9,2.6
424,139,2.8,2.5
425,142,2.8,2.5
426,153,2.6,2.5
427,162,2.4,2.5
428,151,2.3,2.5
429,146,2.1,1.7
430,134,2,1.6
431,139,2.3,2.1
432,135,2.1,2
433,142,2.1,1.8
434,151,2,1.7
435,134,2.1,1.9
436,142,2.3,1.8
437,164,2.1,1.7
438,150,2,1.5
439,156,2.3,1.8
440,149,2.2,1.6
441,141,2.1,1.7
442,154,2,1.7
443,146,2.2,1.7
444,151,2.1,1.8
445,131,2,1.5
446,167,1.9,1.4
447,152,2.7,2.6
448,149,6.3,2.5
449,156,6.1,2.7
450,163,6.2,2.8
451,145,5.8,2.6
452,454,6.1,2.4
453,398,6.8,2.7
454,346,6.3,2.9
455,298,7.3,3.5
456,306,7.2,3.2
457,314,7.1,3.1
458,295,7.2,3.1
459,284,7.1,3.2
460,451,7.2,3.1
461,390,6.4,4.4
462,187,5.3,3.6
463,258,5.9,3.9
464,198,6.2,3.1
465,204,6.3,3.2
466,236,6.2,3.1
467,354,6.2,3.1
468,378,6.3,3.2
469,291,4.9,3.4
470,264,4.5,3.2
471,232,5.6,3.7
472,251,5.3,4.2
473,263,4.9,4
474,246,4.5,3.6
475,235,4.8,3.5
476,245,4.7,3.7
477,271,4.2,3.5
478,260,4.1,3.3
479,242,4.2,3.2
480,301,5.6,2.9
481,275,5.3,2.8
482,192.1,5.1,2.2
483,215,5.2,2.4
484,246,5.3,2.3
485,267,4.8,2.8
486,246,4.4,4.2
487,235,5.3,3.8
488,245,5.6,3.6
489,271,5.8,3.3
490,260,6,3.7
491,242,5.7,3.4
492,301,5.3,2.3
493,136,4.8,2.6
494,136,5.4,3.2
495,78.2,5.6,2.5
496,92.3,5.3,2.8
497,80.6,5.5,3.7
498,165.9,5.7,3.2
499,98.2,5.6,3.1
500,105.1,5.5,3.2
501,136,5,2.8
502,136,4.3,2.5
503,137,3.1,2.3
504,146,3.9,2.2
505,152,3.6,2.8
506,162,3.4,2.4
507,135,3.5,2.3
508,124,3.4,2.4
509,143,3.1,2.2
510,186,3,2.5
511,116,4.3,2.5
512,126,4.5,2.2
513,137,4.6,2.2
514,158,4.2,2.1
515,180,3.5,1.6
516,155,3.7,2.2
517,153,3.5,1.4
518,147,3.4,1.2
519,152,3.2,1.3
520,166,2.8,1.6
521,158,2.7,1.6
522,145,3,1.5
523,178,3.1,1.3
524,184,2.9,1.5
525,143,2.4,1.4
526,165,2.2,1.1
527,156,2.1,1.2
528,103,2.3,1.6
529,125,2.7,1.3
530,133,3.1,1.7
531,112,2.8,1.6
532,104,2.3,1.5
533,124,2.7,1.7
534,87,2.5,1.4
535,113,2.6,1.3
536,135,3.8,1.7
537,124,3.5,1.6
538,141,3.7,1.8
539,128,3.4,1.5
540,89,3.6,1.9
541,107,3.8,1.8
542,80,3.2,1.6
543,112,3.6,2.5
544,84,3.3,2.5
545,98,3.5,2.3
546,103,3.1,2.2
547,133,3.4,2.2
548,113,3.2,2.1
549,97,3.5,2.3
550,102,3.8,2.7
551,85,3.6,2.5
552,240,5.2,3.4
553,196,5,3.1
554,185,5.4,2.9
555,86,5.2,2.6
556,97,5.6,2.4
557,133,8.6,3.5
558,219,9.7,6.9
559,169,9.8,7.2
560,156,10.6,7.8
561,172,9.2,7.3
562,188,8.7,7.1
563,158,7.5,3.8
564,165,7.3,3.1
565,177,6.7,3.8
566,112,5.1,3.2
567,152,6.2,3.5
568,132,7.3,4.6
569,140,7.7,4.4
570,156,8,4.7
571,147,7.6,3.4
572,186,7.3,3.9
573,192,8.2,7.4
574,229,11.5,9
575,97,8.6,3.6
576,150,10.6,8.2
577,173,9.8,8.4
578,183,8.7,6.4
579,145,8.3,5.3
580,153,7.9,3.1
581,126,7.5,3.2
582,135,6.3,3.6
583,158,6,3.4
584,146,6.5,4.2
585,168,6.2,4
586,177,6.7,2.3
587,155,6.3,2.5
588,194,5.4,2.9
589,309,11.3,4.5
590,91,15.2,12.6
591,120,22.3,17.9
592,187,22.9,10.8
593,157,18.7,9.3
594,121,16.2,11.5
595,102,10.4,3.5
596,93,1.7,1.5
597,113,1.6,1.4
598,132,1.6,1.5
599,123,3.5,2
600,106,3.8,2.1
601,152,3.6,2.4
602,136,4.1,2.7
603,165,3.9,2.5
604,137,3.4,2.3
605,171,3.1,2.6
606,261,2.8,1.8
607,174,2.7,1.7
608,150,4.3,2.4
609,168,4.2,2.5
610,149,4.3,2.4
611,182,4.1,2.3
612,163,4.2,1.9
613,197,3.9,1.3
614,112,13.2,7.9
615,134,12.8,8.3
616,146,8.6,3.6
617,159,7.4,3.3
618,172,6.8,3.1
619,134,6.4,2.5
620,127,6.3,2.7
621,112,2.2,1.2
622,152,1.9,1.3
623,42,2.5,1.2
624,102,2.4,1.3
625,138,2.7,1.2
626,161,2.6,1.4
627,174,2.7,1.2
628,153,2.3,1.3
629,148,3.3,2.1
630,140,2.9,1.3
631,132,3.2,1.9
632,153,3.8,2.1
633,175,4.4,2.3
634,166,4.7,2.6
635,173,4.5,2.4
636,167,4.4,2.2
637,123,4.2,1.6
638,158,3.9,1.5
639,145,4.6,2.2
640,81,7.8,4.5
641,97,8.2,5.1
642,129,5.8,3.6
643,134,5.4,2.3
644,94,5.7,2.1
645,105,3.9,1.1
646,141,2.8,0.9
647,123,2.6,1.2
648,54,2.5,1.1
649,68,3.1,1.3
650,113,2.7,1.2
651,197,2.3,1.1
652,188,2.2,1.2
653,241,2.6,1.3
654,118,1.5,0.6
655,150,1.6,0.7
656,153,1.5,0.6
657,182,1.8,0.8
658,169,2.1,1
659,147,1.9,0.9
660,138,1.7,0.7
661,164,1.8,0.9
662,143,2.2,2
663,134,1.9,0.9
664,700,2.6,1.3
665,549,5.7,4.5
666,366,8.9,7.3
667,387,11.4,8.4
668,397,11.3,8.1
669,391,8.4,4.2
670,377,4.1,2.1
671,210,5.2,3.1
672,183,5.1,3.6
673,196,5.6,3.7
674,215,5.2,3.1
675,187,4.9,3.2
676,195,4.4,3.1
677,226,3.6,1.1
678,183,2,0.9
679,174,2.2,0.8
680,237,2,1
681,262,2,0.9
682,253,1.7,1.2
683,278,1.1,1.1
684,378,1.2,0.9
685,290,1.5,0.8
686,303,1.8,0.7
687,260,1.7,0.8
688,256,1.6,1.5
689,271,2,1.6
690,227,2.2,1.5
691,312,2.1,1.4
692,295,2.2,1.2
693,280,2.7,1.6
694,310,1.8,1.5
695,247,1.9,1.4
696,250,1.8,1.2
697,192,2,1.5
698,213,2.1,1.5
699,274,1.9,1.3
700,321,1.8,1.5
701,325,3.3,2.3
702,264,2.9,1.9
703,281,6.5,4.2
704,360,2.6,1.6
705,450,2.3,1.4
706,433,2.2,1.1
707,378,2.7,1.3
708,355,2.3,1.2
709,265,2.6,1.4
710,257,2.9,2.7
711,275,3.6,2.8
712,158,3.8,2.7
713,189,3.4,2.3
714,211,3.7,2.5
715,298,3.5,2.2
716,274,3.6,2.1
717,256,2.6,2.2
718,110,2.7,2.1
719,121,3,2.2
720,86,3.5,2.5
721,112,3.4,2.4
722,163,3.5,2.3
723,138,3.4,2.2
724,145,3.1,2.3
725,205,2.9,2.4
726,195,3,2.2
727,107,2.8,1.5
728,152,2.9,1.7
729,167,2.1,1.1
730,174,2.4,1.2
731,198,2.5,1.3
732,186,2.3,1.5
733,205,1.4,1.2
734,185,1.3,1.3
735,156,1.5,1.4
736,161,1.6,1.4
737,179,1.6,1.3
738,192,1.7,1.3
739,175,1.8,1.2
740,189,1.9,1.3
741,210,2,1.5
742,182,2.1,1.7
743,191,2,1.6
744,211,6.5,4.6
745,268,6.1,4.8
746,484,5.8,4.5
747,448,5.9,4.3
748,444,5.4,3.2
749,450,14,8.8
750,308,2.1,1.1
751,288,2.9,1.2
752,207,2.8,1.5
753,253,2.8,1.3
754,229,3.1,1.4
755,237,3.2,1.3
756,225,3,1.3
757,238,2.8,1.2
758,212,2.6,1.2
759,238,2.7,1.1
760,219,2.8,1.6
761,241,2.9,1.6
762,214,3.5,2
763,241,3.3,1.7
764,234,2.9,1.4
765,289,3.2,1.6
766,264,3,2.1
767,173,2.8,2
768,195,2.9,1.8
769,207,2.8,1.7
770,224,2.7,1.5
771,234,2.6,1.3
772,242,2.8,1.2
773,217,4.4,4.2
774,201,4.5,3.8
775,236,4.6,3.5
776,267,4.5,2.7
777,233,3.8,2
778,274,4.2,2.3
779,238,3.9,2.4
780,225,3.7,2.8
781,213,3.1,2.6
782,223,2.9,2.3
783,210,3.2,2.5
784,241,2.9,1.2
785,227,3.1,1.5
786,215,3.5,1.8
787,274,3.4,1.7
788,247,3.3,1.8
789,221,2.8,1.3
790,180,2.5,1.2
791,274,2.2,1.1
792,196,2.4,1.3
793,218,2.6,1.5
794,236,2.8,1.4
795,287,2.7,1.3
796,247,2.9,1.8
797,269,4.6,4.2
798,323,6.6,6.2
799,290,5.5,3.2
800,366,6.1,3.4
801,348,5.7,3.6
802,314,5.3,3.1
803,347,5.1,2.8
804,326,4.7,2.7
805,407,3.1,2.6
806,249,2.9,2.1
807,412,2.8,1.8
808,351,2.7,1.7
809,376,2.9,1.3
810,327,3.3,1.8
811,347,3.2,1.7
812,364,3.4,1.8
813,322,3.1,1.9
814,342,2.8,2
815,361,3.3,2.1
816,345,3.1,2.1
817,317,3.3,2
818,376,3.4,2.1
819,384,3.2,2.3
820,375,3.1,2.2
821,307,3.1,1.8
822,326,3.1,1.7
823,317,4.6,3.9
824,340,3.5,1.8
825,328,5.8,2.6
826,359,6.7,2.9
827,377,6.1,2.7
828,325,5.9,2.5
829,298,5.3,1.7
830,315,4.1,1.6
831,332,3.9,1.8
832,299,4,1.9
833,282,4.1,2.1
834,335,3.8,2
835,303,3.3,1.8
836,322,3.2,1.7
837,304,2.9,1.9
838,323,2.8,1.8
839,332,2.7,1.8
840,360,2.9,1.7
841,318,3.2,1.9
842,352,3.5,2.1
843,347,3.2,1.8
844,351,3.1,1.6
845,322,2.9,2.2
846,354,2.8,1.5
847,328,2.9,1.8
848,341,3.3,2.4
849,355,3.6,2.8
850,312,3.5,2
851,312,3.2,2.5
852,346,3.1,2.7
853,333,3,2.5
854,342,2.9,1.7
855,354,3.2,1.7
856,332,3.7,2.5
857,367,3.4,2.3
858,412,4.1,2.8
859,374,4.2,2.7
