,COD2i
1355,560
1356,630
1357,550
1358,485
1359,543
1360,520
1361,489
1362,459
1363,477
1364,451
1365,420
1366,326
1367,340
1368,403
1369,428
1370,462
1371,390
1372,412
1373,450
1374,422
1375,380
1376,375
1377,385
1378,305
1379,320
1380,369
1381,402
1382,384
1383,315
1384,350
1385,543
1386,517
1387,460
1388,482
1389,438
1390,405
1391,410
1392,420
1393,578
1394,533
1395,460
1396,511
1397,485
1398,340
1399,360
1400,350
1401,386
1402,394
1403,360
1404,377
1405,380
1406,526
1407,510
1408,398
1409,426
1410,463
1411,420
1412,450
1413,390
1414,682
1415,333
1416,450
1417,493
1418,522
1419,488
1420,613
1421,589
1422,538
1423,560
1424,490
1425,477
1426,453
1427,501
1428,550
1429,524
1430,505
1431,477
1432,453
1433,501
1434,550
1435,524
1436,505
1437,451
1438,497
1439,982
1440,820
1441,744
1442,538
1443,477
1444,511
1445,565
1446,498
1447,560
1448,601
1449,622
1450,537
1451,550
1452,577
1453,562
1454,520
1455,531
1456,490
1457,472
1458,443
1459,460
1460,488
1461,461
1462,530
1463,460
1464,380
1465,407
1466,426
1467,436
1468,441
1469,425
1470,450
1471,436
1472,440
1473,453
1474,588
1475,550
1476,532
1477,519
1478,486
1479,478
1480,456
1481,438
1482,416
1483,420
1484,475
1485,505
1486,467
1487,484
1488,426
1489,447
1490,480
1491,436
1492,481
1493,572
1494,524
1495,980
1496,880
1497,1100
1498,1052
1499,980
1500,1010
1501,942
1502,436
1503,421
1504,433
1505,452
1506,489
1507,456
1508,501
1509,469
1510,485
1511,456
1512,465
1513,512
1514,483
1515,476
1516,485
1517,521
1518,510
1519,450
1520,420
1521,437
1522,482
1523,423
1524,490
1525,536
1526,578
1527,550
1528,561
1529,524
1530,513
1531,482
1532,475
1533,479
1534,556
1535,450
1536,480
1537,514
1538,462
1539,420
1540,701
1541,680
1542,699
1543,620
1544,633
1545,586
1546,495
1547,480
1548,477
1549,453
1550,569
1551,536
1552,526
1553,511
1554,539
1555,520
1556,546
1557,511
1558,532
1559,480
1560,490
1561,475
1562,463
1563,480
1564,850
1565,821
1566,492
1567,485
1568,460
1569,442
1570,426
1571,436
1572,554
1573,495
1574,505
1575,450
1576,465
1577,428
1578,466
1579,436
1580,512
1581,489
1582,514
1583,495
1584,501
1585,524
1586,515
1587,480
1588,502
1589,491
1590,482
1591,468
1592,612
1593,586
1594,499
1595,488
1596,638
1597,606
1598,584
1599,595
1600,581
1601,573
1602,522
1603,510
