,P,DO
556,59.6,2
557,59.3,1.1
558,58.8,0.6
559,59.3,0
560,59.1,1.7
561,59.7,3.1
562,59,3.7
563,58.7,4.1
564,58.6,3.3
565,59,3.3
566,59.3,3.9
567,59.5,5
568,58.6,4.5
569,59.2,5.7
570,58.6,5.6
571,59,5.1
572,59.4,5.5
573,59.3,2.9
574,60,0.7
575,59.6,0.4
576,60.1,0
577,59.3,0.2
578,59.2,1.9
579,59.6,2.1
580,59.6,2.8
581,59.9,2.8
582,59.9,3.2
583,59.9,1.9
584,59.9,2
585,60,1.9
586,60,1.3
587,59.6,1.7
588,60.2,0
589,59.5,0.1
590,59.5,0.1
591,60.3,0
592,60.2,0.1
593,59.7,3.4
594,59.6,5.5
595,60.1,4.7
596,59.5,5.1
597,59.6,5.3
598,59.7,6
599,59.6,5.7
600,59.5,5.9
601,59.9,6
602,59.5,6.4
603,59.5,6.7
604,59.9,6.8
605,60,6.8
606,59.1,6.7
607,59.4,6.4
608,58.6,6.2
609,59.2,4.8
610,58.4,5.3
611,59.1,4.5
612,58.7,4.2
613,58.8,3.6
614,59.5,3.7
615,58.8,3.9
616,58.3,5
617,58.6,5.8
618,58.5,6
619,58.4,6
620,59,6.1
621,58.8,6.1
622,59.1,5.8
623,60.3,6.3
624,58.6,6
625,58.8,6.3
626,58.9,6.8
627,58.4,6.7
628,58.3,6.8
629,59.1,6.3
630,59.8,6.8
631,59.4,6.1
632,59.1,5.5
633,59.6,3
634,59.4,5.5
635,58.9,6
636,56.4,6.4
637,56.9,6.5
638,58.6,6.2
639,57.8,6.5
640,59.2,6.3
641,63.1,6.3
642,69.7,5.2
643,61,5.2
644,58.3,6.1
645,57.9,5.9
646,57.5,6
647,57.4,6.1
648,57.9,6.3
649,64.9,6.5
650,61.6,6
651,63.1,5.5
652,64.9,5.4
653,63.5,4.8
654,65.2,4.9
655,63.6,4.1
656,65.3,3.4
657,69.7,4.9
658,61.9,6.7
659,59.8,6.1
660,57.8,5.9
661,57.5,6.3
662,57.8,6.2
663,59.3,7
664,61.7,6.9
665,57.6,7.1
666,57.5,7.3
667,64.1,7.6
668,58.1,7.8
669,60.6,7.7
670,66.4,7.7
671,59.3,7.9
672,62.3,8.1
673,63.1,8
674,56.9,8.1
675,57,8
676,68,6.2
677,69.4,5.8
678,68.6,7.9
679,62.8,7.5
680,58.9,6.6
681,58.3,6.6
682,58.7,6.1
