Date,CODMBR,raw,Diff1
2022/12/20,122,134.5714286,-4
2022/12/21,145,133,23
2022/12/22,132,130.8571429,-13
2022/12/23,142,131.8571429,10
2022/12/24,123,131.5714286,-19
2022/12/25,135,132.1428571,12
2022/12/26,123,131.7142857,-12
2022/12/27,128,132.5714286,5
2022/12/28,138,131.5714286,10
2022/12/29,125,130.5714286,-13
2022/12/30,163,133.5714286,38
2022/12/31,170,140.2857143,7
2023/1/1,176,146.1428571,6
2023/1/2,185,155,9
2023/1/3,199,165.1428571,14
2023/1/4,167,169.2857143,-32
2023/1/5,181,177.2857143,14
2023/1/6,165,177.5714286,-16
2023/1/7,157,175.7142857,-8
2023/1/8,160,173.4285714,3
2023/1/9,153,168.8571429,-7
2023/1/10,148,161.5714286,-5
2023/1/11,167,161.5714286,19
2023/1/12,174,160.5714286,7
2023/1/13,162,160.1428571,-12
2023/1/14,121,155,-41
2023/1/15,135,151.4285714,14
2023/1/16,140,149.5714286,5
2023/1/17,131,147.1428571,-9
2023/1/18,115,139.7142857,-16
2023/1/19,125,132.7142857,10
2023/1/20,112,125.5714286,-13
2023/1/21,121,125.5714286,9
2023/1/22,109,121.8571429,-12
2023/1/23,113,118,4
2023/1/24,125,117.1428571,12
2023/1/25,115,117.1428571,-10
2023/1/26,137,118.8571429,22
2023/1/27,120,120,-17
2023/1/28,121,120,1
2023/1/29,108,119.8571429,-13
2023/1/30,136,123.1428571,28
2023/1/31,127,123.4285714,-9
2023/2/1,144,127.5714286,17
2023/2/2,134,127.1428571,-10
2023/2/3,128,128.2857143,-6
2023/2/4,135,130.2857143,7
2023/2/5,127,133,-8
2023/2/6,118,130.4285714,-9
2023/2/7,121,129.5714286,3
2023/2/8,129,127.4285714,8
2023/2/9,116,124.8571429,-13
2023/2/10,132,125.4285714,16
2023/2/11,125,124,-7
2023/2/12,131,124.5714286,6
2023/2/13,81,119.2857143,-50
2023/2/14,86,114.2857143,5
2023/2/15,95,109.4285714,9
2023/2/16,107,108.1428571,12
2023/2/17,115,105.7142857,8
2023/2/18,103,102.5714286,-12
2023/2/19,106,99,3
2023/2/20,120,104.5714286,14
2023/2/21,128,110.5714286,8
2023/2/22,115,113.4285714,-13
2023/2/23,82,109.8571429,-33
2023/2/24,97,107.2857143,15
2023/2/25,113,108.7142857,16
2023/2/26,125,111.4285714,12
2023/2/27,112,110.2857143,-13
2023/2/28,96,105.7142857,-16
2023/3/1,89,102,-7
2023/3/2,79,101.5714286,-10
2023/3/3,96,101.4285714,17
2023/3/4,103,100,7
2023/3/5,115,98.57142857,12
2023/3/6,108,98,-7
2023/3/7,114,100.5714286,6
2023/3/8,111,103.7142857,-3
2023/3/9,133,111.4285714,22
2023/3/10,122,115.1428571,-11
2023/3/11,129,118.8571429,7
2023/3/12,137,122,8
2023/3/13,124,124.2857143,-13
2023/3/14,112,124,-12
2023/3/15,131,126.8571429,19
2023/3/16,145,128.5714286,14
2023/3/17,108,126.5714286,-37
2023/3/18,105,123.1428571,-3
2023/3/19,120,120.7142857,15
2023/3/20,114,119.2857143,-6
2023/3/21,131,122,17
2023/3/22,147,124.2857143,16
2023/3/23,135,122.8571429,-12
2023/3/24,113,123.5714286,-22
2023/3/25,122,126,9
2023/3/26,128,127.1428571,6
2023/3/27,127,129,-1
2023/3/28,133,129.2857143,6
2023/3/29,126,126.2857143,-7
2023/3/30,135,126.2857143,9
2023/3/31,123,127.7142857,-12
2023/4/1,127,128.4285714,4
