Date,observed,seasonal,resid
2021/10/16,351,-22.72016876,0.293473739
2021/10/17,499,5.820568255,123.6541035
2021/10/18,478,15.43048755,95.2858382
2021/10/19,493,2.530924808,124.7360426
2021/10/20,469,-0.149084608,105.5021001
2021/10/21,426,-15.82354752,80.66630326
2021/10/22,376,16.59969963,1.590475534
2021/10/23,387,-13.01783108,44.55317389
2021/10/24,354,2.891706599,-3.559916508
2021/10/25,365,12.92563715,-2.354776209
2021/10/26,354,1.931148447,-2.420424314
2021/10/27,355,-3.143150874,3.306138687
2021/10/28,324,-27.02393704,-4.607070935
2021/10/29,378,17.33268884,3.818481016
2021/10/30,351,-5.303810294,-2.277039882
2021/10/31,499,0.199012624,138.7405533
2021/11/1,478,14.495744,102.515913
2021/11/2,493,0.688313132,130.5963339
2021/11/3,323,-8.723553675,-30.82785896
2021/11/4,356,-13.05468332,5.339668103
2021/11/5,378,11.5967944,1.76127676
2021/11/6,362,0.008358386,-0.037398125
2021/11/7,357,-2.626480773,0.710288167
2021/11/8,334,13.16967043,-35.52196177
2021/11/9,351,1.153649936,-4.428298146
2021/11/10,325,-14.95194093,-12.73983623
2021/11/11,352,-6.807935765,7.083309963
2021/11/12,345,4.843198891,-11.64492812
2021/11/13,357,4.912432435,-1.185120529
2021/11/14,345,-3.146336709,-7.71116858
2021/11/15,375.1,17.07743683,-0.745099078
2021/11/16,365,4.273835014,-1.198848767
2021/11/17,354,-19.26094717,8.053072155
2021/11/18,364,-5.536174165,1.050640638
2021/11/19,375,1.3020262,2.47361834
2021/11/20,384,12.49751206,-1.674042516
2021/11/21,378,-6.430165368,10.10297067
2021/11/22,376,1.189588719,0.07071361
2021/11/23,387,5.336945152,6.881560761
2021/11/24,354,-18.98500941,-2.668304379
2021/11/25,365,-0.756916773,-11.37418168
2021/11/26,354,15.64838414,-40.38818651
2021/11/27,355,16.95085301,-42.73918064
2021/11/28,324,-10.01618779,-52.41405237
2021/11/29,378,-10.73216129,-7.867921206
2021/11/30,351,1.991108869,-54.59785191
2021/12/1,499,-22.53433194,110.8602823
2021/12/2,478,6.801098644,51.21863986
2021/12/3,493,22.62985231,40.42916674
2021/12/4,469,19.53127526,9.348550549
2021/12/5,426,-12.04249458,-12.50267368
2021/12/6,440,-18.69353758,-0.948319276
2021/12/7,466,-4.013759261,2.666273238
2021/12/8,454,-28.1905464,8.040679587
2021/12/9,505,15.28059291,9.810614293
2021/12/10,525,37.71307884,2.705729871
2021/12/11,510,18.27142603,3.511357324
2021/12/12,486,-13.57057762,8.794387444
2021/12/13,475,-21.87930908,4.433110357
2021/12/14,484,-3.897690363,-5.689138345
2021/12/15,460,-25.78268736,-8.758848779
2021/12/16,520,19.05887603,5.505549478
2021/12/17,516,20.35574533,-0.842485291
2021/12/18,507,13.19057704,-4.281238229
2021/12/19,496,-3.755591206,-1.339849767
2021/12/20,485,-19.55939567,-2.541525263
2021/12/21,453,1.452823943,-62.5804154
2021/12/22,441,-19.17043839,-60.44855303
2021/12/23,457,13.06289897,-81.26187826
2021/12/24,460,6.949275,-75.53394227
2021/12/25,550,5.855661559,11.88415721
2021/12/26,621,9.556520631,71.38582179
2021/12/27,586,-17.16356536,63.48819613
2021/12/28,549,5.315141093,10.30077495
2021/12/29,535,-13.64048525,21.43558139
2021/12/30,521,9.270850102,-9.87343254
2021/12/31,505,-5.396987615,-6.048272585
2022/1/1,499,0.779982138,-13.73749127
2022/1/2,485,17.55282294,-41.12155047
2022/1/3,491,-15.33374591,-0.115291824
2022/1/4,503,9.865959203,-12.86687231
2022/1/5,492,-13.61617041,-1.251950793
2022/1/6,512,8.699694321,-5.692833348
2022/1/7,498,-13.81131976,-0.885028245
2022/1/8,509,-5.840841552,-3.102710579
2022/1/9,556,30.51177904,1.730874127
2022/1/10,602,-13.00189973,86.14476395
2022/1/11,622,8.406466773,80.51083044
2022/1/12,588,-18.11614043,68.86416526
2022/1/13,563,13.6581159,7.462943066
