Date,CODMBR,rolling_median,raw_signed_dev
2021/6/1,466,0,-12
2021/6/2,454,0,-24
2021/6/3,505,0,27
2021/6/4,525,0,41
2021/6/5,510,0,26
2021/6/6,486,0,0
2021/6/7,475,21,-11
2021/6/8,484,21,-2
2021/6/9,460,21,-26
2021/6/10,520,21,34
2021/6/11,516,16,31
2021/6/12,507,0,23
2021/6/13,496,-2,21
2021/6/14,485,-2,25
2021/6/15,453,-2,-4
2021/6/16,441,-4,-12
2021/6/17,457,-4,16
2021/6/18,359,-4,-28
2021/6/19,346,-4,-29
2021/6/20,355,-4,-12
2021/6/21,364,-4,0
2021/6/22,340,-4,-21
2021/6/23,347,-2,-12
2021/6/24,350,-2,-5
2021/6/25,387,-2,33
2021/6/26,375,-2,22
2021/6/27,367,-1,13
2021/6/28,351,-1,-2
2021/6/29,361,-2,9
2021/6/30,354,-2,2
2021/7/1,345,-1,-8
2021/7/2,353,2,-1
2021/7/3,345,2,-9
2021/7/4,366,2,12
2021/7/5,352,2,-2
2021/7/6,341,2,-13
2021/7/7,351,0,-3
2021/7/8,364,-1,10
2021/7/9,384,-1,29
2021/7/10,378,-2,23
2021/7/11,376,0,12
2021/7/12,387,-2,32
2021/7/13,354,0,-10
2021/7/14,365,0,0
2021/7/15,354,10,-22
2021/7/16,355,3,-23
2021/7/17,324,0,-54
2021/7/18,378,0,0
2021/7/19,351,-10,-36
2021/7/20,499,-12,73
2021/7/21,478,-12,38
2021/7/22,493,-12,39
2021/7/23,469,0,3
2021/7/24,426,0,-43
2021/7/25,440,0,-35
2021/7/26,466,0,-12
2021/7/27,454,0,-24
2021/7/28,505,0,27
2021/7/29,525,0,41
2021/7/30,510,0,26
2021/7/31,486,0,0
2021/8/1,475,0,-11
2021/8/2,484,0,-2
2021/8/3,460,0,-26
2021/8/4,520,0,34
2021/8/5,516,0,31
2021/8/6,507,0,22
2021/8/7,496,0,11
2021/8/8,485,0,0
2021/8/9,453,11,-43
2021/8/10,441,19,-66
2021/8/11,457,19,-59
2021/8/12,460,11,-47
2021/8/13,550,5,45
2021/8/14,621,0,122
2021/8/15,586,0,81
2021/8/16,549,5,33
2021/8/17,535,11,19
2021/8/18,521,11,5
2021/8/19,505,11,-11
2021/8/20,499,11,-17
2021/8/21,485,11,-22
2021/8/22,520,11,15
2021/8/23,516,5,17
2021/8/24,507,0,11
2021/8/25,496,-4,11
2021/8/26,485,-4,0
2021/8/27,453,-4,-4
2021/8/28,441,-4,-12
2021/8/29,457,-4,16
2021/8/30,359,-4,-28
2021/8/31,346,-4,-29
2021/9/1,355,-4,-12
2021/9/2,364,-4,0
2021/9/3,340,-4,-21
2021/9/4,347,-2,-12
2021/9/5,350,-2,-5
2021/9/6,387,-2,33
2021/9/7,375,-2,22
2021/9/8,367,-1,13
2021/9/9,351,-1,-2
2021/9/10,361,-2,9
2021/9/11,354,-2,2
2021/9/12,345,-1,-8
2021/9/13,353,2,-1
2021/9/14,345,2,-9
2021/9/15,366,0,12
2021/9/16,352,0,-2
2021/9/17,341,2,-20
2021/9/18,351,2,-15
2021/9/19,521,11,36
2021/9/20,505,11,20
2021/9/21,499,11,14
2021/9/22,485,11,0
2021/9/23,520,11,35
2021/9/24,516,11,31
2021/9/25,507,11,22
2021/9/26,496,11,11
2021/9/27,485,0,0
2021/9/28,453,0,-4
2021/9/29,441,0,-12
2021/9/30,457,-4,16
2021/10/1,359,-4,-17
2021/10/2,346,-4,-30
2021/10/3,355,-4,-9
2021/10/4,364,-4,0
2021/10/5,340,-4,-19
2021/10/6,347,-5,-8
2021/10/7,350,-5,-5
2021/10/8,376,-5,21
2021/10/9,387,-5,33
2021/10/10,354,-1,-1
2021/10/11,365,-1,10
2021/10/12,354,-1,-1
2021/10/13,355,2,-10
2021/10/14,324,10,-52
2021/10/15,378,10,2
2021/10/16,351,10,-27
2021/10/17,499,2,123
2021/10/18,478,2,102
2021/10/19,493,-1,117
2021/10/20,469,-2,93
2021/10/21,426,-2,50
2021/10/22,376,2,-2
2021/10/23,387,-2,11
2021/10/24,354,11,-24
2021/10/25,365,11,-13
2021/10/26,354,11,-24
2021/10/27,355,-2,-21
2021/10/28,324,-2,-41
2021/10/29,378,-2,13
2021/10/30,351,0,-11
2021/10/31,499,0,142
2021/11/1,478,0,121
2021/11/2,493,0,137
2021/11/3,323,0,-33
2021/11/4,356,0,0
2021/11/5,378,0,22
2021/11/6,362,0,6
2021/11/7,357,0,1
2021/11/8,334,0,-22
2021/11/9,351,0,-5
2021/11/10,325,-4,-29
2021/11/11,352,-1,-4
2021/11/12,345,-1,-12
2021/11/13,357,-1,0
2021/11/14,345,-1,-12
2021/11/15,375.1,-1,18.1
2021/11/16,365,0,1
2021/11/17,354,0,-10
2021/11/18,364,0,-1
2021/11/19,375,0,10
2021/11/20,384,0,19
2021/11/21,378,-1,13
2021/11/22,376,0,11
2021/11/23,387,-1,22
2021/11/24,354,-1,-11
2021/11/25,365,0,-10
2021/11/26,354,10,-22
2021/11/27,355,3,-23
2021/11/28,324,0,-54
2021/11/29,378,-10,0
2021/11/30,351,-11,-36
2021/12/1,499,-12,73
2021/12/2,478,-12,38
2021/12/3,493,-12,39
2021/12/4,469,0,3
2021/12/5,426,0,-43
2021/12/6,440,0,-35
2021/12/7,466,0,-12
2021/12/8,454,0,-24
2021/12/9,505,0,27
2021/12/10,525,0,41
2021/12/11,510,0,26
2021/12/12,486,0,0
2021/12/13,475,0,-11
2021/12/14,484,0,-2
2021/12/15,460,0,-26
2021/12/16,520,0,34
2021/12/17,516,0,31
2021/12/18,507,0,22
2021/12/19,496,0,11
2021/12/20,485,0,0
2021/12/21,453,11,-43
2021/12/22,441,22,-66
2021/12/23,457,22,-59
2021/12/24,460,16,-47
2021/12/25,550,11,45
2021/12/26,621,0,122
2021/12/27,586,0,87
2021/12/28,549,-6,46
2021/12/29,535,-6,32
2021/12/30,521,0,16
2021/12/31,505,0,0
2022/1/1,499,0,-10
2022/1/2,485,0,-24
2022/1/3,491,0,-18
2022/1/4,503,0,-6
2022/1/5,492,0,-17
2022/1/6,512,-3,3
